box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_14_SUPPLY,IMG_7194_output,Maintenon,Ammunition Dump,,,43444 83,1.0,4.0,4.0,2351.0,R,,113.0,62.0,,,,999.0,2.0,104.0,,,,,,,,,104.0,False
BOX_7,BOOK_14_SUPPLY,IMG_7194_output,Maintenon,Ammunition Dump,,,43444 83,1.0,4.0,4.0,2351.0,R,,113.0,62.0,,,,424.0,3.0,106.0,,,,,,,,,106.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0535_output,Maintenon,MERKWILLER OIL REFINERY,4857N,750E,43486 500,3,8.0,4.0,1430.0,8,306AG,106.0,200.0,1,N,1.0,238.0,2.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0535_output,Maintenon,MERKWILLER OIL REFINERY,4857N,750E,43486 500,3,8.0,4.0,1430.0,8,306G,106.0,200.0,1,N,1.0,238.0,2.0,35.7,4.0,3.0,,,,,,,35.7,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0535_output,Maintenon,MERKWILLER OIL REFINERY,4857N,750E,43486 500,3,8.0,4.0,1430.0,8,306S,106.0,200.0,1,N,1.0,238.0,2.0,35.7,4.0,3.0,,,,,,,35.7,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0535_output,Maintenon,MERKWILLER OIL REFINERY,4857N,750E,43486 500,3,8.0,4.0,1529.0,8,92BG,12.0,197.0,1,N,1.0,239.0,2.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0535_output,Maintenon,MERKWILLER OIL REFINERY,4857N,750E,43486 500,3,8.0,4.0,1530.0,8,305BG,12.0,189.0,1,N,1.0,238.0,2.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0535_output,Maintenon,MERKWILLER OIL REFINERY,4857N,750E,43486 500,3,8.0,4.0,1530.0,8,305CG,12.0,211.0,1,N,1.0,238.0,2.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0535_output,Maintenon,MERKWILLER OIL REFINERY,4857N,750E,43486 500,3,8.0,4.0,1530.0,8,306AG,12.0,200.0,1,N,1.0,229.0,2.0,29.0,4.0,2.0,,,,,,,29.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0535_output,Maintenon,MERKWILLER OIL REFINERY,4857N,750E,43486 500,3,8.0,4.0,1530.0,8,306BG,12.0,190.0,1,N,1.0,238.0,2.0,29.0,4.0,3.0,,,,,,,29.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0535_output,Maintenon,MERKWILLER OIL REFINERY,4857N,750E,43486 500,3,8.0,4.0,1530.0,8,306CG,12.0,207.0,1,N,1.0,239.0,2.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0535_output,Maintenon,MERKWILLER OIL REFINERY,4857N,750E,43486 500,3,8.0,4.0,1535.0,8,305AG,11.0,200.0,1,N,1.0,218.0,2.0,27.0,4.0,2.0,,,,,,,27.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0535_output,Maintenon,MERKWILLER OIL REFINERY,4857N,750E,43486 500,3,8.0,4.0,1540.0,8,92CG,12.0,210.0,1,N,1.0,228.0,2.0,29.0,4.0,3.0,,,,,,,29.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0534_output,Maintenon,Fuel Dump,4835N,134E,43444,7,8.0,4.0,1305.0,8,379AG,11.0,250.0,1,N,2.0,200.0,2.0,25.0,4.0,3.0,,,,,5.0,,25.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0534_output,Maintenon,Fuel Dump,4835N,134E,43444,8,8.0,4.0,1305.0,8,379CG,12.0,260.0,1,N,2.0,198.0,2.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0534_output,Maintenon,Fuel Dump,4835N,134E,43444,8,8.0,4.0,1305.0,8,379DG,13.0,265.0,1,N,2.0,207.0,2.0,26.0,4.0,3.0,,,,,,,26.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0534_output,Maintenon,Fuel Dump,4835N,134E,43444,8,8.0,4.0,1305.0,8,379SG,23.0,270.0,1,N,2.0,202.0,2.0,30.3,4.0,3.0,,,,,,,30.3,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0534_output,Maintenon,Fuel Dump,4835N,134E,43444,8,8.0,4.0,1305.0,8,379SG,20.0,275.0,1,N,2.0,202.0,2.0,30.3,4.0,3.0,,,,,,,30.3,False
