box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,1.0,2.0,1349.0,8.0,452G,12.0,261.0,6.0,N,1.0,207.0,2.0,26.0,4.0,3.0,23.0,12.0,6.0,,,,32.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,1.0,2.0,1358.0,8.0,487AG,12.0,273.0,6.0,N,1.0,197.0,2.0,25.0,4.0,3.0,21.0,6.0,5.0,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,1.0,2.0,1358.0,8.0,487G,12.0,275.0,6.0,N,1.0,196.0,2.0,25.0,4.0,3.0,22.0,12.0,6.0,,,,31.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,1.0,2.0,1358.0,8.0,487CG,12.0,263.0,6.0,N,1.0,233.0,2.0,29.0,4.0,3.0,26.0,12.0,7.0,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,1.0,2.0,1400.0,9.0,452G,11.0,280.0,6.0,N,1.0,212.0,2.0,27.0,4.0,3.0,24.0,6.0,6.0,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,1.0,2.0,1400.0,9.0,452BG,8.0,285.0,6.0,N,1.0,138.0,2.0,17.0,4.0,3.0,15.0,12.0,4.0,,,,21.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,20.0,1.0,2.0,1415.0,8.0,487G,12.0,269.0,6.0,N,1.0,213.0,2.0,31.95,4.0,3.0,25.0,6.0,6.25,,,,38.2,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,1.0,4.0,1353.0,8.0,94G,9.0,270.0,6.0,N,1.0,160.0,2.0,20.0,4.0,3.0,16.0,6.0,4.0,,,,24.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,1.0,4.0,1355.0,8.0,94G,10.0,275.0,6.0,N,1.0,216.0,2.0,27.0,4.0,3.0,24.0,6.0,6.0,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,1.0,4.0,1400.0,8.0,390G,11.0,290.0,6.0,N,1.0,190.0,2.0,24.0,4.0,3.0,20.0,6.0,5.0,,,,29.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,1.0,4.0,1400.0,8.0,390G,4.0,276.0,6.0,N,1.0,180.0,2.0,22.5,4.0,3.0,6.0,12.0,2.0,,,,24.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,1.0,4.0,1400.0,8.0,447G,11.0,273.0,6.0,N,1.0,180.0,2.0,27.0,4.0,3.0,18.0,12.0,5.0,,,,32.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,1.0,4.0,1400.0,8.0,447G,11.0,275.0,6.0,N,1.0,216.0,2.0,27.0,4.0,3.0,22.0,12.0,6.0,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,1.0,4.0,1400.0,8.0,447CG,12.0,258.0,6.0,N,1.0,197.0,2.0,25.0,4.0,3.0,20.0,6.0,5.0,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,19.0,1.0,4.0,1359.0,8.0,390G,12.0,270.0,6.0,N,1.0,208.0,2.0,26.0,4.0,3.0,24.0,6.0,6.0,,,,32.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6236_output,Mainz Kastel,Mainz Kastel Marshalling Yard,5000N,817E,47271 630,18.0,12.0,4.0,1356.0,8.0,94G,11.0,265.0,6.0,N,1.0,234.0,2.0,29.0,4.0,3.0,24.0,6.0,6.0,,,,35.0,False
