box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7670_output,Maisy,MARNE FLAK BTRY GETO,360,,93554 820,15-16,9.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7670_output,Maisy,MARNE FLAK BTRY GETO,360,,93554 820,15-16,9.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_7,BOOK_15_TACTICAL,IMG_7670_output,Maisy,MARNE FLAK BTRY GETO,360,,93554 820,15-16,9.0,1.0,,R,,1.0,,,,,44.0,1.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7669_output,Maisy,Battery,,,93552 820,04-05,6.0,4.0,331.0,R,,52.0,70.0,,,,925.0,3.0,231.0,,,,,,,,,231.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7669_output,Maisy,Battery,,,93552 820,05,6.0,4.0,1200.0,R,,52.0,70.0,,,,800.0,1.0,33.0,,,,,,,,,33.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7672_output,Maisy,MONT FIEURY LIGHT COASTAL BTRY,,,93560 820,05,6.0,4.0,1200.0,R,,108.0,110.0,,,,761.0,4.0,418.55,,,,,,,,,418.55,False
BOX_7,BOOK_15_TACTICAL,IMG_7669_output,Maisy,Battery,,,93552 820,05,6.0,4.0,1400.0,R,,106.0,70.0,,,,800.0,3.0,240.0,,,,,,,,,240.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7669_output,Maisy,Battery,,,93552 820,05,6.0,4.0,1400.0,R,,158.0,70.0,,,,800.0,3.0,240.0,,,,,,,,,240.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7672_output,Maisy,MONT FIEURY LIGHT COASTAL BTRY,,,93560 820,05-06,6.0,4.0,429.0,R,,108.0,110.0,,,,891.0,4.0,490.05,,,,,,,,,490.05,False
BOX_7,BOOK_15_TACTICAL,IMG_7672_output,Maisy,MONT FIEURY LIGHT COASTAL BTRY,,,93560 820,05-06,6.0,4.0,429.0,R,,108.0,110.0,,,,632.0,3.0,158.0,,,,,,,,,158.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7669_output,Maisy,Battery,,,93552 820,05-06,6.0,4.0,1319.0,R,,106.0,70.0,,,,878.0,4.0,439.0,,,,,,,,,439.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7669_output,Maisy,Battery,,,93552 820,05-06,6.0,4.0,1319.0,R,,106.0,70.0,,,,597.0,3.0,149.0,,,,,,,,,149.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7671_output,Maisy,MONDEVILLE,,,93558 800,18,7.0,4.0,559.0,R,,232.0,,,,,800.0,3.0,240.0,,,,,,,,,240.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7671_output,Maisy,MONDEVILLE,,,93558 800,18,7.0,4.0,559.0,R,,232.0,,,,,725.0,4.0,363.0,,,,,,,,,363.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7671_output,Maisy,MONDEVILLE,,,93558 800,18,7.0,4.0,559.0,R,,232.0,,,,,759.0,4.0,380.0,,,,,,,,,380.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7671_output,Maisy,MONDEVILLE,,,93558 800,18,7.0,4.0,1200.0,R,,232.0,,,,,750.0,9.0,375.0,,,,,,,,,375.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7671_output,Maisy,MONDEVILLE,,,93558 800,18,7.0,4.0,1430.0,R,,232.0,,,,,740.0,10.0,592.0,,,,,,,,,592.0,False
