box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_17_NAVAL,IMG_8107_output,MANNHEIM,INLAND PORT,47446,710,,06-07,11.0,0.0,,R,,4.0,,,,,2.0,4.0,1.0,,,140.0,2.0,0.28,,,,1.28,False
BOX_7,BOOK_17_NAVAL,IMG_8107_output,MANNHEIM,INLAND PORT,47446,710,,06-07,11.0,0.0,,R,,4.0,,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_8107_output,MANNHEIM,INLAND PORT,47446,710,,06-07,11.0,0.0,,R,,4.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8107_output,MANNHEIM,INLAND PORT,47446,710,,10-11,11.0,0.0,,R,,4.0,,,,,1.0,4.0,0.55,,,240.0,2.0,0.48,,,,1.03,False
BOX_7,BOOK_17_NAVAL,IMG_8107_output,MANNHEIM,INLAND PORT,47446,710,,10-11,11.0,0.0,,R,,4.0,,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_7,BOOK_17_NAVAL,IMG_8107_output,MANNHEIM,INLAND PORT,47446,710,,10-11,11.0,0.0,,R,,4.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7109_output,MANNHEIM,ELECTRIC POWER STATION,4744N,630E,,11,11.0,0.0,,R,,3.0,,,,,12.0,3.0,3.0,,,,,,,,,3.0,False
BOX_7,BOOK_17_NAVAL,IMG_8107_output,MANNHEIM,INLAND PORT,47446,710,,11,11.0,0.0,,R,,4.0,,,,,6.0,4.0,4.0,,,,,,,,,4.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7109_output,MANNHEIM,ELECTRIC POWER STATION,4744N,630E,,28,11.0,0.0,,R,,3.0,,,,,4.0,3.0,1.0,,,180.0,2.0,0.36,,,,1.36,False
BOX_7,BOOK_13_UTILITIES,IMG_7109_output,MANNHEIM,ELECTRIC POWER STATION,4744N,630E,,10,12.0,0.0,,R,,2.0,,,,,4.0,3.0,1.0,,,240.0,2.0,0.48,,,,1.48,False
