box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3632_output,Markersdorf,Nanet Neu Leng Bach AD,4812N,1555E,2503 781,26.0,7.0,4.0,1135.0,15.0,376G,14.0,190.0,1.0,C,1.0,,,,,,,,,3300.0,2.0,33.0,33.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3632_output,Markersdorf,Nanet Neu Leng Bach AD,4812N,1555E,2503 781,8.0,7.0,4.0,1058.0,15.0,376G,24.0,210.0,7.0,G,1.0,239.0,3.0,60.0,4.0,91.0,,,,,,,60.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3632_output,Markersdorf,Nanet Neu Leng Bach AD,4812N,1555E,2503 781,8.0,7.0,4.0,1059.0,15.0,449G,22.0,212.0,7.0,G,1.0,866.0,1.0,7.0,9.0,91.0,,,,,,,7.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3632_output,Markersdorf,Nanet Neu Leng Bach AD,4812N,1555E,2503 781,23.0,8.0,4.0,1225.0,15.0,461G,30.0,210.0,7.0,G,1.0,,,,,,,,,5950.0,7.0,357.0,357.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3632_output,Markersdorf,Nanet Neu Leng Bach AD,4812N,1555E,2503 781,23.0,8.0,4.0,1225.0,15.0,464G,26.0,180.0,7.0,G,2.0,,,,,,,,,5700.0,2.0,57.0,57.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3632_output,Markersdorf,Nanet Neu Leng Bach AD,4812N,1555E,2503 781,23.0,8.0,4.0,1226.0,15.0,451G,16.0,189.0,7.0,G,1.0,,,,,,,,,3400.0,2.0,34.0,34.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3632_output,Markersdorf,Nanet Neu Leng Bach AD,4812N,1555E,2503 781,23.0,8.0,4.0,1228.0,15.0,462G,25.0,219.0,7.0,G,1.0,247.0,3.0,62.0,4.0,91.0,,,,,,,62.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3632_output,Markersdorf,Nanet Neu Leng Bach AD,4812N,1555E,2503 781,23.0,8.0,4.0,1230.0,15.0,460G,26.0,230.0,7.0,G,3.0,260.0,3.0,65.0,4.0,1.0,,,,,,,65.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3632_output,Markersdorf,Nanet Neu Leng Bach AD,4812N,1555E,2503 781,23.0,8.0,4.0,1236.0,15.0,465G,8.0,238.0,7.0,C,1.0,69.0,3.0,17.0,4.0,1.0,,,,,,,17.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3632_output,Markersdorf,Nanet Neu Leng Bach AD,4812N,1555E,2503 781,23.0,8.0,4.0,1243.0,15.0,463G,28.0,219.0,7.0,G,1.0,269.0,3.0,67.0,4.0,1.0,,,,,,,67.0,False
