box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1562_output,Mazingarbe,Industrial Plant,,,43474,23.0,7.0,1.0,,R,,3.0,,,,,12.0,2.0,1.8,,,,,,,,,1.8,False
BOX_7,BOOK_13_UTILITIES,IMG_7070_output,Mazingarbe,Power Station,528N,244E,43474 30,8.0,7.0,1.0,600.0,R,001G,1.0,110.0,4.0,C,1.0,5.0,4.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7070_output,Mazingarbe,Power Station,528N,244E,43474 30,8.0,7.0,1.0,1434.0,R,002G,1.0,110.0,5.0,C,1.0,10.0,3.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1562_output,Mazingarbe,Industrial Plant,,,43474,8.0,7.0,1.0,,R,,2.0,,,,,10.0,4.0,5.0,,,,,,,,,5.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1562_output,Mazingarbe,Industrial Plant,,,43474,8.0,7.0,1.0,,R,,2.0,,,,,20.0,3.0,5.0,,,,,,,,,5.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7070_output,Mazingarbe,Power Station,528N,244E,43474 30,9.0,8.0,1.0,1300.0,R,003G,3.0,110.0,6.0,C,1.0,15.0,3.0,6.0,4.0,91.0,,,,,,,6.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7070_output,Mazingarbe,Power Station,528N,244E,43474 30,17.0,9.0,1.0,2200.0,R,004G,5.0,110.0,7.0,C,1.0,20.0,2.0,3.0,4.0,91.0,20.0,1.0,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1562_output,Mazingarbe,Industrial Plant,,,43474,25.0,9.0,1.0,,R,,4.0,,,,,16.0,2.0,2.0,,,4.0,6.0,1.0,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1562_output,Mazingarbe,Industrial Plant,,,43474,26.0,9.0,1.0,,R,,5.0,,,,,20.0,2.0,3.0,,,20.0,1.0,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1562_output,Mazingarbe,Industrial Plant,,,43474,27.0,9.0,1.0,,R,,12.0,,,,,12.0,2.0,1.8,,,32.0,1.0,,,,,1.8,False
BOX_7,BOOK_13_UTILITIES,IMG_7070_output,Mazingarbe,Power Station,528N,244E,43474 30,19.0,10.0,1.0,900.0,R,006G,5.0,110.0,9.0,C,1.0,24.0,2.0,3.0,4.0,91.0,24.0,1.0,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1562_output,Mazingarbe,Industrial Plant,,,43474,28.0,10.0,1.0,,R,,12.0,,,,,12.0,2.0,1.8,,,8.0,32.0,1.0,,,,2.8,False
BOX_7,BOOK_13_UTILITIES,IMG_7070_output,Mazingarbe,Power Station,528N,244E,43474 30,19.0,7.0,2.0,1030.0,R,008G,2.0,110.0,11.0,C,1.0,8.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7070_output,Mazingarbe,Power Station,528N,244E,43474 30,19.0,7.0,2.0,1430.0,R,009G,2.0,110.0,12.0,C,1.0,8.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7070_output,Mazingarbe,Power Station,528N,244E,43474 30,22.0,9.0,2.0,1500.0,R,011G,3.0,110.0,12.0,C,1.0,12.0,3.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7070_output,Mazingarbe,Power Station,528N,244E,43474 30,24.0,10.0,2.0,1500.0,R,013G,1.0,110.0,12.0,C,1.0,4.0,3.0,1.0,4.0,91.0,,,,,,,1.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0857_output,Mazingarbe,Chemical Plant,528N,244E,43474,7.0,7.0,3.0,718.0,8,322G,34.0,100.0,7,G,1.0,96.0,4.0,48.0,4.0,3.0,,,,,,,48.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0857_output,Mazingarbe,Chemical Plant,528N,244E,43474,7.0,7.0,3.0,1230.0,8,305G,34.0,100.0,7,G,1.0,97.0,5.0,97.0,4.0,4.0,,,,,,,97.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0857_output,Mazingarbe,Chemical Plant,528N,244E,43474,8.0,7.0,3.0,1530.0,8,322S,34.0,100.0,7,G,1.0,98.0,6.0,196.0,4.0,5.0,,,,,,,196.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7070_output,Mazingarbe,Power Station,528N,244E,43474 30,26.0,9.0,3.0,1845.0,8,015G,35.0,110.0,7.0,G,1.0,51.0,4.0,26.0,4.0,4.0,311.0,7.0,11.0,,,,37.0,False
BOX_7,BOOK_13_UTILITIES,IMG_7070_output,Mazingarbe,Power Station,528N,244E,43474 30,25.0,6.0,4.0,1205.0,8,017G,35.0,250.0,1.0,N,1.0,936.0,1.0,58.0,1.0,91.0,,,,,,,58.0,False
