box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,07,7.0,1.0,1200.0,R,97SG,4.0,225.0,7.0,G,1.0,20.0,4.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,07,7.0,1.0,1200.0,R,97SG,4.0,225.0,7.0,G,1.0,39.0,3.0,10.0,4.0,3.0,940.0,2.0,2.0,,,,12.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,07,7.0,1.0,1400.0,R,97SG,4.0,225.0,7.0,G,1.0,20.0,3.0,6.0,4.0,3.0,,,,,,,6.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,28,8.0,2.0,1330.0,8,97G,9.0,225.0,7.0,N,1.0,1.0,4.0,0.55,4.0,3.0,,,,,,,0.55,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,28,8.0,2.0,1337.0,8,97G,6.0,225.0,7.0,N,1.0,72.0,3.0,18.0,4.0,3.0,,,,,,,18.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,06,9.0,2.0,1740.0,8,97BG,12.0,240.0,7.0,G,1.0,48.0,4.0,24.0,4.0,3.0,,,,,,,24.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,06,9.0,2.0,1740.0,8,92G,12.0,235.0,7.0,G,1.0,14.0,4.0,7.0,4.0,3.0,,,,,,,7.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,06,9.0,2.0,1744.0,8,97AG,11.0,245.0,7.0,G,1.0,55.0,4.0,27.5,4.0,3.0,,,,,,,27.5,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,6,9.0,2.0,1740.0,8,92G,7.0,235.0,7.0,G,1.0,32.0,3.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,02,10.0,2.0,1510.0,8,301G,16.0,220.0,7.0,N,1.0,110.0,3.0,33.0,4.0,3.0,70.0,8.0,7.98,,,,40.98,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,2,10.0,2.0,1510.0,8,97G,14.0,220.0,7.0,G,1.0,130.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,08,5.0,3.0,1630.0,8,323G,4.0,213.0,7.0,G,1.0,40.0,3.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,13,5.0,3.0,1315.0,8,401S,4.0,250.0,7.0,G,1.0,20.0,3.0,5.0,4.0,3.0,,,,,,,5.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,13,5.0,3.0,1625.0,8,364S,5.0,230.0,7.0,G,1.0,60.0,3.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,13,5.0,3.0,1628.0,8,369S,7.0,265.0,7.0,G,1.0,70.0,3.0,18.0,4.0,3.0,,,,,,,18.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,13,5.0,3.0,1628.0,8,423S,9.0,260.0,7.0,G,1.0,70.0,3.0,18.0,4.0,3.0,,,,,,,18.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,13,5.0,3.0,1629.0,8,427S,7.0,240.0,7.0,G,1.0,68.0,3.0,17.0,4.0,3.0,,,,,,,17.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,13,5.0,3.0,1629.0,8,324S,8.0,210.0,7.0,G,1.0,68.0,3.0,20.0,4.0,3.0,,,,,,,20.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,13,5.0,3.0,1629.0,8,358S,8.0,240.0,7.0,G,1.0,76.0,3.0,19.0,4.0,3.0,,,,,,,19.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,13,5.0,3.0,1630.0,8,422G,5.0,255.0,7.0,G,1.0,50.0,3.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,13,5.0,3.0,1630.0,8,359S,6.0,240.0,7.0,G,1.0,60.0,3.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,13,5.0,3.0,1630.0,8,366S,6.0,230.0,7.0,G,1.0,60.0,3.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,13,5.0,3.0,1630.0,8,365S,8.0,230.0,7.0,G,1.0,60.0,3.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,02-03,3.0,4.0,2110.0,R,402S,7.0,90.0,7.0,G,1.0,14.0,4.0,7.0,4.0,3.0,,,,,,,7.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,2,3.0,4.0,2110.0,R,401S,14.0,90.0,7.0,G,1.0,11.0,5.0,12.0,4.0,3.0,472.0,31.0,7.08,,,,19.08,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,26,8.0,4.0,1400.0,R,482G,3.0,120.0,7.0,N,1.0,4.0,4.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,26,8.0,4.0,1430.0,R,482G,3.0,130.0,7.0,N,1.0,2.0,5.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,26,8.0,4.0,1430.0,R,482G,3.0,300.0,7.0,N,1.0,10.909090909090908,4.0,6.0,4.0,3.0,,,,,,,6.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3235_output,MEAULTE,AVIONS POTEZ AC FCTY,4959N,240E,43476 110,26,8.0,4.0,1933.0,R,482G,3.0,250.0,7.0,N,1.0,8.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
