box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7475_output,MERLIMONT PLAGE,MERVILLE BEACON,,,43490 800,08-09,12.0,0.0,,R,,1.0,,,,,1.0,2.0,0.125,,,,,,,,,0.125,False
BOX_7,BOOK_15_TACTICAL,IMG_7475_output,MERLIMONT PLAGE,MERVILLE BEACON,,,43490 800,08-09,12.0,0.0,,R,,1.0,,,,,6.0,2.0,0.75,,,,,,,,,0.75,False
BOX_7,BOOK_15_TACTICAL,IMG_7475_output,MERLIMONT PLAGE,MERVILLE BEACON,,,43490 800,8,12.0,0.0,,R,,1.0,,,,,7.0,2.0,0.875,,,,,,,,,0.875,False
BOX_7,BOOK_15_TACTICAL,IMG_7474_output,MERLIMONT PLAGE,TACTICAL TARGET,527N,137E,43488 800,10.0,6.0,1.0,750.0,8.0,452G,2.0,230.0,3.0,N,1.0,10.0,5.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7474_output,MERLIMONT PLAGE,TACTICAL TARGET,527N,137E,43488 800,10.0,6.0,1.0,930.0,8.0,96AG,1.0,235.0,3.0,N,1.0,6.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7476_output,MERLIMONT PLAGE,MERVILLE FIELD BATTARY,,,43490 820,09-10,5.0,4.0,2341.0,R,,55.0,60.0,,,,583.0,4.0,292.0,,,,,,,,,292.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7476_output,MERLIMONT PLAGE,MERVILLE FIELD BATTARY,,,43490 820,09-10,5.0,4.0,2341.0,R,,55.0,60.0,,,,212.0,3.0,53.0,,,,,,,,,53.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7474_output,MERLIMONT PLAGE,TACTICAL TARGET,527N,137E,43488 800,10.0,5.0,4.0,757.0,8.0,96G,13.0,240.0,3.0,N,3.0,25.0,5.0,25.0,4.0,2.0,,,,,,,25.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7476_output,MERLIMONT PLAGE,MERVILLE FIELD BATTARY,,,43490 820,19-20,5.0,4.0,131.0,R,,56.0,85.0,,,,149.0,4.0,75.0,,,,,,,,,75.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7476_output,MERLIMONT PLAGE,MERVILLE FIELD BATTARY,,,43490 820,19-20,5.0,4.0,131.0,R,,56.0,85.0,,,,675.0,3.0,169.0,,,,,,,,,169.0,False
