box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7478_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9.0,11.0,1.0,954.0,8.0,460G,16.0,220.0,5.0,N,2.0,104.0,5.0,104.0,4.0,4.0,,,,,,,104.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7478_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9.0,11.0,1.0,1800.0,8.0,461G,17.0,220.0,5.0,N,2.0,2.0,4.0,1.0,4.0,4.0,,,,,,,1.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,947.0,8,303AG,8.0,233.0,5.0,N,2.0,60.0,4.0,30.0,4.0,91.0,,,,,,,30.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,947.0,8,303BG,13.0,233.0,5.0,N,2.0,9.0,4.0,4.5,4.0,91.0,,,,,,,4.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,947.0,8,303CG,11.0,233.0,5.0,N,2.0,8.0,4.0,4.0,4.0,91.0,,,,,,,4.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,947.0,8,305CG,1.0,233.0,5.0,N,2.0,8.0,4.0,4.0,4.0,91.0,,,,,,,4.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,948.0,8,379CG,13.0,237.0,5.0,N,2.0,97.0,4.0,49.0,4.0,91.0,,,,,,,49.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,948.0,8,384AG,13.0,220.0,5.0,N,2.0,102.0,4.0,51.0,4.0,91.0,,,,,,,51.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,948.0,8,384BG,13.0,216.0,5.0,N,2.0,98.0,4.0,49.0,4.0,91.0,,,,,,,49.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,950.0,8,379BG,11.0,230.0,5.0,N,2.0,82.0,4.0,41.0,4.0,91.0,,,,,,,41.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,950.0,8,401AG,12.0,237.0,5.0,N,2.0,80.0,4.0,47.0,4.0,9.1,,,,,,,47.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,950.0,8,401BG,12.0,231.0,5.0,N,2.0,89.0,4.0,44.5,4.0,91.0,,,,,,,44.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,950.0,8,401CG,12.0,246.0,5.0,N,2.0,90.0,4.0,45.0,4.0,91.0,,,,,,,45.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,951.0,8,379BG,13.0,228.0,5.0,N,2.0,81.0,4.0,40.5,4.0,91.0,,,,,,,40.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,953.0,8,44G,32.0,220.0,3.0,N,1.0,114.0,5.0,114.0,4.0,91.0,,,,,,,114.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,953.0,8,44G,22.0,230.0,3.0,N,1.0,6.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,954.0,8,392G,30.0,220.0,3.0,N,2.0,112.0,5.0,112.0,4.0,4.0,,,,,,,112.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,955.0,8,306AG,10.0,229.0,5.0,N,2.0,76.0,4.0,38.0,4.0,91.0,,,,,,,38.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,955.0,8,306CG,3.0,233.0,5.0,N,2.0,88.0,4.0,44.0,4.0,91.0,,,,,,,44.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7477_output,METZ,TACTICAL TARGETS,4907N,611E,43496 800,9,11.0,4.0,956.0,8,306BG,2.0,224.0,5.0,N,2.0,94.0,4.0,47.0,4.0,91.0,,,,,,,47.0,False
