box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2167_output,Misburg,Unidentified Target,5224N,951E,47476 10,15.0,6.0,1.0,829.0,8.0,385G,27.0,242.0,3.0,N,1.0,270.0,3.0,68.0,4.0,3.0,,,,,,,68.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2167_output,Misburg,Unidentified Target,5224N,951E,47476 10,15.0,6.0,1.0,1200.0,8.0,95AG,4.0,250.0,3.0,N,1.0,24.0,3.0,6.0,4.0,3.0,,,,,,,6.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2167_output,Misburg,Unidentified Target,5224N,951E,47476 10,15.0,6.0,4.0,816.0,8.0,95G,4.0,257.0,3.0,N,1.0,340.0,3.0,85.0,4.0,3.0,,,,,,,85.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2167_output,Misburg,Unidentified Target,5224N,951E,47476 10,15.0,6.0,4.0,820.0,8.0,452G,16.0,253.0,3.0,N,1.0,162.0,3.0,41.0,4.0,3.0,,,,,,,41.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2167_output,Misburg,Unidentified Target,5224N,951E,47476 10,15.0,6.0,4.0,822.0,8.0,390G,34.0,245.0,3.0,N,1.0,340.0,3.0,85.0,4.0,3.0,,,,,,,85.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2167_output,Misburg,Unidentified Target,5224N,951E,47476 10,15.0,6.0,4.0,830.0,8.0,447G,26.0,253.0,3.0,N,1.0,260.0,3.0,65.0,4.0,3.0,,,,,,,65.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2167_output,Misburg,Unidentified Target,5224N,951E,47476 10,15.0,6.0,4.0,831.0,8.0,94AG,26.0,250.0,3.0,N,1.0,260.0,3.0,65.0,4.0,3.0,,,,,,,65.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2167_output,Misburg,Unidentified Target,5224N,951E,47476 10,15.0,6.0,4.0,1430.0,8.0,94AG,4.0,250.0,3.0,N,1.0,16.0,3.0,4.0,4.0,3.0,,,,,,,4.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0673_output,Misburg,Syn Oil Refinery,5224N,951E,47476,2.0,11.0,4.0,1237.0,8,445AG,7.0,235.0,3,N,2.0,74.0,3.0,19.0,4.0,3.0,,,,,,,19.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0673_output,Misburg,Syn Oil Refinery,5224N,951E,47476,25.0,11.0,4.0,1530.0,8,445BG,11.0,235.0,2,N,2.0,122.0,3.0,31.0,4.0,3.0,,,,,,,31.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0673_output,Misburg,Syn Oil Refinery,5224N,951E,47476,26.0,11.0,4.0,1239.0,8,445CG,11.0,235.0,1,N,2.0,118.0,3.0,30.0,4.0,3.0,6.0,7.0,0.252,,,,30.252,False
