box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6303_output,Mittelland Canal Locks,Mittelland Canal Locks,5218N,857E,47441 660,06-07,11.0,4.0,1900.0,R,,35.0,120.0,,,,107.0,4.0,53.5,,,,,,,,,53.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6303_output,Mittelland Canal Locks,Mittelland Canal Locks,5218N,857E,47441 660,06-07,11.0,4.0,1900.0,R,,124.0,120.0,,,,39.0,4.0,20.0,,,,,,,,,20.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6303_output,Mittelland Canal Locks,Mittelland Canal Locks,5218N,857E,47441 660,06-07,11.0,4.0,1900.0,R,,35.0,120.0,,,,36.66666666666666,3.0,11.0,,,,,,,,,11.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6303_output,Mittelland Canal Locks,Mittelland Canal Locks,5218N,857E,47441 660,21-22,11.0,4.0,1930.0,R,,124.0,120.0,,,,4.0,5.0,4.0,,,,,,,,,4.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6303_output,Mittelland Canal Locks,Mittelland Canal Locks,5218N,857E,47441 660,21-22,11.0,4.0,2048.0,R,,124.0,120.0,,,,1024.0,4.0,512.0,,,,,,,,,512.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6303_output,Mittelland Canal Locks,Mittelland Canal Locks,5218N,857E,47441 660,01-02,1.0,5.0,1903.0,R,,152.0,120.0,,,,1378.0,4.0,689.0,,,,,,,,,689.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6303_output,Mittelland Canal Locks,Mittelland Canal Locks,5218N,857E,47441 660,01-02,1.0,5.0,1903.0,R,,152.0,120.0,,,,8.0,8.0,4.0,,,,,,,,,4.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6303_output,Mittelland Canal Locks,Mittelland Canal Locks,5218N,857E,47441 660,1,1.0,5.0,1903.0,R,,152.0,120.0,,,,166.0,8.0,83.0,,,,,,,,,83.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6303_output,Mittelland Canal Locks,Mittelland Canal Locks,5218N,857E,47441 660,21-22,2.0,5.0,2031.0,R,,157.0,120.0,,,,166.0,1.0,2.0,,,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6303_output,Mittelland Canal Locks,Mittelland Canal Locks,5218N,857E,47441 660,21-22,2.0,5.0,2031.0,R,,157.0,120.0,,,,25.0,3.0,6.25,,,,,,,,,6.25,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6303_output,Mittelland Canal Locks,Mittelland Canal Locks,5218N,857E,47441 660,21,5.0,5.0,2100.0,R,,469.0,120.0,,,,25.0,3.0,6.25,,,,,,,,,6.25,False
