box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0674_output,MOLBIS,BENZOL PLANT,5111N,1230E,47480 520,17.0,3.0,5.0,1230.0,8.0,401AG,12.0,250.0,4.0,N,2.0,96.0,3.0,24.0,4.0,3.0,,,,454.0,7.0,27.0,51.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0674_output,MOLBIS,BENZOL PLANT,5111N,1230E,47480 520,17.0,3.0,5.0,1243.0,8.0,401BG,12.0,268.0,4.0,N,2.0,12.0,3.0,3.0,4.0,3.0,,,,417.0,7.0,25.02,28.02,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0674_output,MOLBIS,BENZOL PLANT,5111N,1230E,47480 520,17.0,3.0,5.0,1245.0,8.0,401CG,11.0,250.0,4.0,N,2.0,131.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0674_output,MOLBIS,BENZOL PLANT,5111N,1230E,47480 520,17.0,3.0,5.0,1250.0,8.0,305AG,12.0,265.0,4.0,N,1.0,132.0,3.0,33.0,4.0,3.0,20.0,5.0,1.0,,,,34.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0674_output,MOLBIS,BENZOL PLANT,5111N,1230E,47480 520,17.0,3.0,5.0,1250.0,8.0,306AG,12.0,269.0,4.0,N,1.0,132.0,3.0,36.0,4.0,3.0,24.0,7.0,1.0,,,,37.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0674_output,MOLBIS,BENZOL PLANT,5111N,1230E,47480 520,17.0,3.0,5.0,1252.0,8.0,306CG,11.0,278.0,4.0,N,1.0,132.0,1.0,3.0,4.0,3.0,22.0,5.0,1.1,,,,4.1,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0674_output,MOLBIS,BENZOL PLANT,5111N,1230E,47480 520,17.0,3.0,5.0,1254.0,8.0,306BG,8.0,252.0,4.0,N,1.0,96.0,3.0,28.8,4.0,3.0,16.0,5.0,0.8,,,,29.6,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0674_output,MOLBIS,BENZOL PLANT,5111N,1230E,47480 520,17.0,3.0,5.0,1256.0,8.0,305BG,12.0,263.0,4.0,N,1.0,132.0,3.0,36.0,4.0,3.0,22.0,5.0,1.1,,,,37.1,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0674_output,MOLBIS,BENZOL PLANT,5111N,1230E,47480 520,17.0,3.0,5.0,1300.0,8.0,92AG,11.0,265.0,4.0,N,1.0,132.0,3.0,33.0,4.0,3.0,18.0,5.0,1.0,,,,34.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0674_output,MOLBIS,BENZOL PLANT,5111N,1230E,47480 520,17.0,3.0,5.0,1301.0,8.0,92BG,12.0,265.0,4.0,N,1.0,96.0,3.0,36.0,4.0,3.0,20.0,5.0,1.0,,,,37.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0674_output,MOLBIS,BENZOL PLANT,5111N,1230E,47480 520,17.0,3.0,5.0,1301.0,8.0,92CG,11.0,276.0,4.0,N,1.0,132.0,3.0,33.0,4.0,3.0,20.0,5.0,1.0,,,,34.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0674_output,MOLBIS,BENZOL PLANT,5111N,1230E,47480 520,17.0,3.0,5.0,1430.0,8.0,419G,124.0,256.0,4.0,N,2.0,,,,,,22.0,5.0,1.1,,,,1.1,False
