box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4010_output,MONCHY,BRETON AIRDROME,5235N,227E,43516 781,08-09,12.0,0.0,1200.0,R,305G,1.0,224.0,3.0,N,1.0,2.0,2.0,0.25,4.0,3.0,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4010_output,MONCHY,BRETON AIRDROME,5235N,227E,43516 781,08-09,12.0,0.0,1430.0,R,305S,1.0,223.0,3.0,N,1.0,12.0,2.0,1.8,4.0,3.0,,,,,,,1.8,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4010_output,MONCHY,BRETON AIRDROME,5235N,227E,43516 781,17,6.0,4.0,1201.0,8,457G,17.0,222.0,3.0,N,1.0,339.0,2.0,42.375,4.0,3.0,,,,,,,42.375,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4010_output,MONCHY,BRETON AIRDROME,5235N,227E,43516 781,17,6.0,4.0,1203.0,8,401G,15.0,230.0,3.0,N,1.0,266.0,2.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4010_output,MONCHY,BRETON AIRDROME,5235N,227E,43516 781,17,6.0,4.0,1246.0,8,351G,16.0,220.0,3.0,N,1.0,288.0,2.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4010_output,MONCHY,BRETON AIRDROME,5235N,227E,43516 781,17,6.0,4.0,1430.0,8,379G,1.0,221.0,3.0,N,1.0,19.0,2.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4010_output,MONCHY,BRETON AIRDROME,5235N,227E,43516 781,17,6.0,4.0,1430.0,8,384G,1.0,221.0,3.0,N,1.0,12.0,1.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4010_output,MONCHY,BRETON AIRDROME,5235N,227E,43516 781,17,6.0,4.0,1430.0,8,461G,54.0,222.0,3.0,N,1.0,300.0,2.0,37.5,4.0,91.0,,,,,,,37.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4010_output,MONCHY,BRETON AIRDROME,5235N,227E,43516 781,17,6.0,4.0,1445.0,8,303G,1.0,221.0,3.0,N,1.0,17.0,2.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4010_output,MONCHY,BRETON AIRDROME,5235N,227E,43516 781,17,6.0,4.0,1700.0,8,460G,53.0,222.0,3.0,N,1.0,200.0,2.0,30.0,4.0,91.0,,,,,,,30.0,False
