box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,21-22,7.0,0.0,,R,,2.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,21-22,7.0,0.0,,R,,2.0,,,,,24.0,2.0,3.0,,,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,28-29,7.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,28-29,7.0,0.0,,R,,1.0,,,,,12.0,2.0,1.5,,,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,21-22,8.0,0.0,,R,,1.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,24,8.0,0.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,26-27,8.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,26-27,8.0,0.0,,R,,1.0,,,,,12.0,13.0,10.0,,,,,,,,,10.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,07-08,11.0,0.0,,R,,1.0,,,,,2.0,2.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,12-13,1.0,1.0,,R,,1.0,,,,,9.0,2.0,1.125,,,,,,,,,1.125,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6724_output,Morlaix,Brest Railway,,,93566 630,06-07,4.0,1.0,,R,,1.0,,,,,8.0,7.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,22-23,4.0,1.0,,R,,1.0,,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,25,11.0,1.0,,R,,6.0,,,,,12.0,2.0,1.8,,,,,,,,,1.8,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,26,11.0,1.0,,R,,6.0,,,,,96.0,2.0,14.4,,,,,,1.0,,,14.4,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4442_output,Morlaix,Airdrome,,,93566 780,30,4.0,2.0,,R,,6.0,,,,,1200.0,3.0,300.0,,,,,,,,,300.0,False
