box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6354_output,MUNICH,MY EAST,4808N,1135E,47492 633,25.0,1.0,1.0,400.0,15.0,459G,1.0,224.0,3.0,C,1.0,6.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6354_output,MUNICH,MY EAST,4808N,1135E,47492 633,25.0,1.0,1.0,434.0,15.0,461G,2.0,245.0,3.0,P,1.0,6.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6350_output,MUNICH,MARSHALLING YARDS,4808N,1135E,47492 630,25.0,2.0,2.0,1127.0,15.0,401CG,12.0,250.0,1.0,N,1.0,203.0,3.0,51.0,4.0,3.0,204.0,6.0,51.0,,,,102.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6350_output,MUNICH,MARSHALLING YARDS,4808N,1135E,47492 630,25.0,2.0,2.0,1130.0,15.0,401BG,9.0,271.0,1.0,N,1.0,71.0,3.0,18.0,4.0,3.0,72.0,6.0,18.0,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6350_output,MUNICH,MARSHALLING YARDS,4808N,1135E,47492 630,25.0,2.0,2.0,1132.0,15.0,351AG,12.0,250.0,1.0,N,1.0,63.0,3.0,16.0,4.0,3.0,66.0,6.0,16.5,,,,32.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6350_output,MUNICH,MARSHALLING YARDS,4808N,1135E,47492 630,25.0,2.0,2.0,1135.0,15.0,305CG,12.0,255.0,1.0,N,1.0,72.0,3.0,18.0,4.0,3.0,72.0,6.0,18.0,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6350_output,MUNICH,MARSHALLING YARDS,4808N,1135E,47492 630,25.0,2.0,2.0,1151.0,15.0,381G,12.0,224.0,1.0,N,1.0,72.0,3.0,18.0,4.0,3.0,70.0,6.0,17.5,,,,35.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6350_output,MUNICH,MARSHALLING YARDS,4808N,1135E,47492 630,25.0,2.0,2.0,1151.0,15.0,381CG,12.0,240.0,1.0,N,1.0,78.0,3.0,17.0,4.0,3.0,76.0,6.0,19.0,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6350_output,MUNICH,MARSHALLING YARDS,4808N,1135E,47492 630,25.0,2.0,2.0,1154.0,15.0,486A,10.0,250.0,1.0,N,2.0,72.0,4.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6350_output,MUNICH,MARSHALLING YARDS,4808N,1135E,47492 630,25.0,2.0,2.0,1212.0,15.0,457AG,36.0,250.0,4.0,N,2.0,66.0,4.0,33.0,4.0,3.0,,,,,,,33.0,False
