box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1140.0,8.0,493AG,10.0,245.0,1.0,N,1.0,120.0,3.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1140.0,8.0,493BG,11.0,247.0,1.0,N,1.0,132.0,3.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1140.0,8.0,493CG,12.0,237.0,1.0,N,1.0,,,,,,14.0,6.0,3.5,,,,3.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1146.0,8.0,447AG,12.0,236.0,1.0,N,1.0,72.0,3.0,18.0,4.0,2.0,72.0,6.0,18.0,,,,36.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1147.0,8.0,94AG,11.0,245.0,1.0,N,1.0,64.0,3.0,16.0,4.0,2.0,60.0,6.0,15.0,,,,31.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1147.0,8.0,94BG,12.0,252.0,1.0,N,1.0,70.0,3.0,18.0,4.0,2.0,66.0,6.0,16.5,,,,34.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1149.0,8.0,490AG,11.0,245.0,1.0,N,1.0,127.0,3.0,32.0,4.0,3.0,,,,,,,32.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1149.0,8.0,490BG,11.0,248.0,1.0,N,1.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1149.0,8.0,490CG,13.0,237.0,1.0,N,1.0,12.0,3.0,3.0,4.0,3.0,138.0,6.0,34.5,,,,37.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1150.0,8.0,34G,1.0,254.0,1.0,N,1.0,132.0,3.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1151.0,8.0,34G,2.0,246.0,1.0,N,1.0,138.0,3.0,35.0,4.0,2.0,,,,,,,35.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1151.0,8.0,34CG,3.0,241.0,1.0,N,1.0,,,,,,143.0,6.0,36.0,,,,36.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1153.0,8.0,95AG,9.0,246.0,1.0,N,1.0,100.0,3.0,25.0,4.0,2.0,,,,,,,25.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1158.0,8.0,96AG,11.0,252.0,3.0,N,2.0,126.0,3.0,32.0,4.0,2.0,,,,,,,32.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1158.0,8.0,96BG,11.0,251.0,3.0,N,2.0,100.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1200.0,8.0,385AG,10.0,248.0,3.0,N,2.0,120.0,3.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1200.0,8.0,385BG,13.0,237.0,3.0,N,2.0,12.0,3.0,3.0,4.0,2.0,144.0,6.0,36.0,,,,39.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4262_output,MUNSTERDORF,LODDENHEI DE AD,5157N,737E,47493 783,5.0,10.0,4.0,1200.0,8.0,385CG,11.0,230.0,3.0,N,2.0,70.0,3.0,17.5,4.0,2.0,,,,,,,17.5,False
