box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,20,4.0,4.0,1400.0,8,95G,7.0,250.0,1.0,N,3.0,84.0,3.0,21.0,4.0,3.0,,,,,,,21.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,21,4.0,4.0,600.0,8,94G,7.0,250.0,1.0,N,3.0,84.0,3.0,21.0,4.0,3.0,,,,,,,21.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,24,4.0,4.0,1430.0,8,392G,1.0,250.0,1.0,N,3.0,10.0,3.0,3.0,4.0,2.0,52.0,5.0,2.6,2.0,,,5.6,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,5,5.0,4.0,1700.0,8,394G,2.0,250.0,1.0,N,3.0,8.0,3.0,3.0,4.0,3.0,,,,2.0,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,14,6.0,4.0,600.0,8,398G,23.0,250.0,1.0,N,3.0,12.0,3.0,3.0,9.0,92.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,17,6.0,4.0,600.0,8,399G,22.0,250.0,1.0,N,4.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,18,6.0,4.0,1400.0,8,93AG,1.0,250.0,1.0,N,3.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,25,6.0,4.0,930.0,8,400G,1.0,250.0,1.0,N,4.0,24.0,2.0,3.0,1.0,3.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,5,6.0,4.0,1020.0,8,396G,22.0,250.0,1.0,N,2.0,10.0,10.0,8.0,3.0,3.0,,,,,,,8.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,5,6.0,4.0,1430.0,8,395G,1.0,250.0,1.0,N,3.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,6,6.0,4.0,600.0,8,397G,22.0,250.0,1.0,N,3.0,10.0,3.0,3.0,4.0,92.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,13,7.0,4.0,930.0,8,492G,1.0,250.0,1.0,N,4.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,17,7.0,4.0,1430.0,8,306CG,1.0,250.0,1.0,N,4.0,12.0,4.0,7.0,4.0,3.0,,,,,,,7.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,17,7.0,4.0,1430.0,8,458AG,1.0,250.0,1.0,N,4.0,8.0,4.0,4.0,4.0,3.0,,,,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,17,7.0,4.0,1530.0,8,493G,1.0,250.0,1.0,N,4.0,6.0,4.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,18,7.0,4.0,800.0,8,489G,1.0,250.0,1.0,N,4.0,9.0,4.0,4.5,4.0,3.0,,,,,,,4.5,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,31,7.0,4.0,1530.0,8,490G,3.0,250.0,1.0,N,3.0,10.0,3.0,3.0,1.0,1.0,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_2,IMG_1663_output,NAME,TARGET,4633N,559E,45990,6,7.0,4.0,1300.0,8,491G,1.0,250.0,1.0,N,3.0,20.0,2.0,3.0,1.0,3.0,,,,,,,3.0,False
