box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_4757_output,NANET,DORFGASTEIN RR JUNCTION,4718N,1303E,2181 631,22.0,11.0,0.0,1330.0,15.0,2G,1.0,266.0,1.0,G,3.0,8.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_5916_output,NANET,BUNDE RLWY STATION,5222N,836E,46211 630,09-10,7.0,1.0,,R,300G,1.0,300.0,,,,3.0,3.0,1.0,,,360.0,2.0,0.72,,,,1.72,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,16.0,2.0,2.0,1424.0,8.0,466G,9.0,230.0,3.0,N,2.0,402.0,3.0,101.0,4.0,3.0,,,,,,,101.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,16.0,2.0,2.0,1427.0,8.0,467G,9.0,235.0,1.0,N,2.0,298.0,3.0,75.0,4.0,3.0,2.0,5.0,0.1,,,,75.1,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,19.0,2.0,2.0,1430.0,8.0,95BG,13.0,237.0,4.0,N,2.0,146.0,3.0,37.0,4.0,3.0,,,,,,,37.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,19.0,2.0,2.0,1430.0,8.0,96G,37.0,244.0,6.0,N,2.0,146.0,3.0,36.5,4.0,3.0,,,,,,,36.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,19.0,2.0,2.0,1430.0,8.0,1000G,37.0,236.0,4.0,N,4.0,146.0,3.0,37.0,4.0,3.0,,,,,,,37.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,19.0,2.0,2.0,1430.0,8.0,39G,13.0,243.0,6.0,N,2.0,391.0,3.0,117.3,4.0,3.0,,,,,,,117.3,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,19.0,2.0,2.0,1430.0,8.0,452G,34.0,240.0,6.0,N,2.0,436.0,3.0,109.0,4.0,3.0,,,,,,,109.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,19.0,2.0,2.0,1435.0,8.0,95AG,12.0,238.0,4.0,N,2.0,146.0,3.0,34.0,4.0,3.0,,,,,,,34.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,26.0,3.0,2.0,1600.0,8.0,92CG,146.0,240.0,4.0,N,3.0,6.0,3.0,2.0,4.0,3.0,4.0,6.0,1.0,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_1,IMG_5135_output,NANET,RR BRIDGE,4548N,1258E,13729 611,22.0,2.0,2.5,1422.0,15.0,301G,4.0,180.0,1.0,G,3.0,4.0,3.0,1.2,4.0,2.0,,,,,,,1.2,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,14.0,3.0,3.0,515.0,8.0,398BG,12.0,230.0,4.0,N,2.0,78.0,4.0,39.0,2.0,1.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,14.0,3.0,3.0,1455.0,8.0,486BG,13.0,230.0,4.0,N,4.0,126.0,3.0,32.0,4.0,3.0,,,,,,,32.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,14.0,3.0,3.0,1455.0,8.0,486BG,9.0,230.0,4.0,N,4.0,112.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,1.0,4.0,3.0,2100.0,8.0,467G,7.0,230.0,4.0,N,1.0,2.0,3.0,0.6,3.0,10.0,3.0,5.0,0.15,,,,0.75,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,1.0,4.0,3.0,2300.0,8.0,91CG,87.0,240.0,4.0,N,2.0,72.0,4.0,36.0,4.0,1.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,1.0,4.0,3.0,2300.0,8.0,388CG,12.0,232.0,4.0,N,4.0,120.0,3.0,30.0,4.0,3.0,48.0,6.0,12.0,,,,42.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,14.0,4.0,3.0,515.0,8.0,398AG,12.0,236.0,4.0,N,2.0,72.0,4.0,36.0,2.0,1.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,3.0,5.0,3.0,1700.0,8.0,466BG,1.0,240.0,4.0,N,1.0,200.0,2.0,20.0,4.0,1.0,,,,,,,20.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6423_output,NANET,OSNABRUCK NAME MARSHALLING YARD,,,IV5822,5.0,9.0,3.0,1800.0,8.0,458G,7.0,219.0,1.0,N,1.0,999.0,1.0,55.0,3.0,10.0,48.0,6.0,12.0,,,,67.0,False
