box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4016_output,Nantes,Nantes Chateau Bougon A D,4713N,132W,43605 781,04-05,2.0,1.0,600.0,R,305G,1.0,200.0,7.0,G,1.0,2.0,2.0,0.25,4.0,2.0,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4016_output,Nantes,Nantes Chateau Bougon A D,4713N,132W,43605 781,13,4.0,1.0,1730.0,R,305A,1.0,200.0,7.0,G,1.0,10.0,2.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4016_output,Nantes,Nantes Chateau Bougon A D,4713N,132W,43605 781,15,7.0,3.0,1249.0,8,407S,8.0,245.0,7.0,G,1.0,80.0,3.0,20.0,4.0,3.0,,,,,,,20.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3239_output,Nantes,De l'Ouest A C Factory,4713N,20132W,43605 112,23.0,7.0,3.0,1243.0,8.0,368G,20.0,240.0,7.0,G,1.0,70.0,3.0,18.0,4.0,3.0,,,,,,,18.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3239_output,Nantes,De l'Ouest A C Factory,4713N,20132W,43605 112,23.0,7.0,3.0,1245.0,8.0,327G,20.0,250.0,7.0,G,1.0,50.0,3.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3239_output,Nantes,De l'Ouest A C Factory,4713N,20132W,43605 112,23.0,7.0,3.0,1247.0,8.0,423G,20.0,240.0,7.0,G,1.0,40.0,3.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3239_output,Nantes,De l'Ouest A C Factory,4713N,20132W,43605 112,23.0,7.0,3.0,1247.0,8.0,369G,20.0,240.0,7.0,G,1.0,60.0,3.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3239_output,Nantes,De l'Ouest A C Factory,4713N,20132W,43605 112,23.0,7.0,3.0,1434.0,8.0,400G,27.0,240.0,7.0,G,1.0,80.0,3.0,24.0,4.0,3.0,,,,,,,24.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3239_output,Nantes,De l'Ouest A C Factory,4713N,20132W,43605 112,23.0,7.0,3.0,1448.0,8.0,325G,20.0,250.0,7.0,G,1.0,10.0,3.0,3.0,3.0,4.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4016_output,Nantes,Nantes Chateau Bougon A D,4713N,132W,43605 781,16,9.0,3.0,1141.0,8,91G,17.0,197.0,7.0,G,3.0,162.0,3.0,41.0,4.0,3.0,,,,,,,41.0,False
