box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6373_output,NECKARSULM,MARSHALLING YARD,4911N,914E,47594 630,11.0,3.0,3.0,1400.0,9.0,401G,11.0,203.0,5.0,N,1.0,95.0,3.0,28.5,4.0,3.0,46.0,6.0,11.5,,,,40.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6373_output,NECKARSULM,MARSHALLING YARD,4911N,914E,47594 630,6.0,3.0,3.0,1434.0,9.0,381CG,12.0,204.0,5.0,N,1.0,104.0,3.0,26.0,4.0,3.0,46.0,12.0,12.0,,,,38.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6373_output,NECKARSULM,MARSHALLING YARD,4911N,914E,47594 630,6.0,3.0,3.0,1435.0,8.0,381BG,12.0,196.0,5.0,N,1.0,96.0,3.0,24.0,4.0,3.0,46.0,12.0,12.0,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6373_output,NECKARSULM,MARSHALLING YARD,4911N,914E,47594 630,8.0,3.0,3.0,1436.0,9.0,384G,11.0,200.0,5.0,N,1.0,104.0,3.0,26.0,4.0,3.0,50.0,12.0,13.0,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6373_output,NECKARSULM,MARSHALLING YARD,4911N,914E,47594 630,8.0,3.0,3.0,1437.0,9.0,398G,11.0,211.0,5.0,N,2.0,8.0,3.0,2.0,4.0,3.0,4.0,6.0,1.0,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6373_output,NECKARSULM,MARSHALLING YARD,4911N,914E,47594 630,9.0,3.0,3.0,1438.0,9.0,399G,11.0,202.0,5.0,N,1.0,95.0,3.0,24.0,4.0,3.0,48.0,6.0,12.0,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6373_output,NECKARSULM,MARSHALLING YARD,4911N,914E,47594 630,1.0,3.0,5.0,1431.0,8.0,306G,10.0,202.0,5.0,N,1.0,80.0,3.0,20.0,4.0,3.0,,,,,,,20.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6373_output,NECKARSULM,MARSHALLING YARD,4911N,914E,47594 630,2.0,3.0,5.0,1431.0,8.0,381G,11.0,206.0,1.0,N,1.0,88.0,3.0,22.0,4.0,3.0,48.0,6.0,12.0,,,,34.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6373_output,NECKARSULM,MARSHALLING YARD,4911N,914E,47594 630,2.0,3.0,5.0,1434.0,8.0,306G,12.0,194.0,5.0,N,1.0,96.0,3.0,24.0,4.0,1.0,40.0,6.0,10.0,,,,34.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6373_output,NECKARSULM,MARSHALLING YARD,4911N,914E,47594 630,3.0,3.0,5.0,1434.0,8.0,380G,11.0,200.0,5.0,N,1.0,8.0,3.0,2.0,4.0,3.0,44.0,6.0,11.0,,,,13.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6373_output,NECKARSULM,MARSHALLING YARD,4911N,914E,47594 630,4.0,3.0,5.0,1434.0,8.0,381G,11.0,200.0,1.0,N,1.0,96.0,3.0,24.0,4.0,3.0,4.0,6.0,1.0,,,,25.0,False
