box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2186_output,NEUBRANDENBURG,UNID INDUSTRIAL TARGET,,,47597,01-02,10.0,0.0,,R,,1.0,,,,,3.0,3.0,0.75,,,,,,,,,0.75,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2186_output,NEUBRANDENBURG,UNID INDUSTRIAL TARGET,,,47597,02,10.0,0.0,,R,,1.0,,,,,3.0,3.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2186_output,NEUBRANDENBURG,UNID INDUSTRIAL TARGET,,,47597,04,10.0,0.0,,R,,1.0,,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4265_output,NEUBRANDENBURG,AIRDROME,5333N,1317E,47597,25.0,8.0,4.0,1305.0,8.0,381CG,13.0,221.0,1.0,N,1.0,130.0,3.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4265_output,NEUBRANDENBURG,AIRDROME,5333N,1317E,47597,25.0,8.0,4.0,1306.0,8.0,91CG,13.0,205.0,1.0,N,1.0,130.0,3.0,33.0,4.0,1.0,,,,,,,33.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4265_output,NEUBRANDENBURG,AIRDROME,5333N,1317E,47597,25.0,8.0,4.0,1307.0,8.0,91BG,11.0,195.0,1.0,N,1.0,100.0,3.0,25.0,4.0,1.0,,,,,,,25.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4265_output,NEUBRANDENBURG,AIRDROME,5333N,1317E,47597,25.0,8.0,4.0,1308.0,8.0,91AG,11.0,200.0,1.0,N,1.0,110.0,3.0,28.0,4.0,1.0,,,,,,,28.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4265_output,NEUBRANDENBURG,AIRDROME,5333N,1317E,47597,25.0,8.0,4.0,1310.0,8.0,381BG,12.0,210.0,1.0,N,1.0,120.0,3.0,30.0,4.0,1.0,,,,,,,30.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4265_output,NEUBRANDENBURG,AIRDROME,5333N,1317E,47597,25.0,8.0,4.0,1311.0,8.0,381BG,12.0,204.0,1.0,N,1.0,120.0,3.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4265_output,NEUBRANDENBURG,AIRDROME,5333N,1317E,47597,25.0,8.0,4.0,1312.0,8.0,398AG,12.0,200.0,1.0,N,1.0,,,,,,120.0,6.0,30.0,,,,30.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4265_output,NEUBRANDENBURG,AIRDROME,5333N,1317E,47597,25.0,8.0,4.0,1312.0,8.0,398BG,12.0,195.0,1.0,N,1.0,,,,,,120.0,6.0,30.0,,,,30.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4265_output,NEUBRANDENBURG,AIRDROME,5333N,1317E,47597,25.0,8.0,4.0,1313.0,8.0,398CG,12.0,210.0,1.0,N,1.0,,,,,,120.0,6.0,30.0,,,,30.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2185_output,NEUBRANDENBURG,Unidentified Target,5333N,1317E,47597,25.0,8.0,4.0,,8.0,100CG,2.0,,,N,3.0,20.0,3.0,5.0,4.0,3.0,,,,,,,5.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2185_output,NEUBRANDENBURG,Unidentified Target,5333N,1317E,47597,26.0,8.0,4.0,,8.0,452CG,2.0,,,N,3.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3359_output,NEUBRANDENBURG,A C ASSEMBLY,5333N,1317E,47597 110,6.0,10.0,4.0,1230.0,8.0,398G,12.0,200.0,1.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3359_output,NEUBRANDENBURG,A C ASSEMBLY,5333N,1317E,47597 110,6.0,10.0,4.0,1245.0,8.0,91G,11.0,197.0,1.0,N,1.0,110.0,3.0,28.0,4.0,2.0,,,,,,,28.0,False
