box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4267_output,NEUMUNSTER,AIRDROME,5405N,1000E,47603 780,20-21,7.0,0.0,1310.0,R,305G,1.0,210.0,3.0,N,2.0,6.0,2.0,0.9,4.0,2.0,,,,,,,0.9,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4267_output,NEUMUNSTER,AIRDROME,5405N,1000E,47603 780,05-06,8.0,0.0,1312.0,R,307G,1.0,210.0,3.0,N,2.0,1.0,3.0,0.3,4.0,2.0,60.0,2.0,0.12,,,,0.42,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4267_output,NEUMUNSTER,AIRDROME,5405N,1000E,47603 780,05-06,8.0,0.0,1312.0,R,308G,1.0,210.0,3.0,N,2.0,1.0,2.0,0.125,4.0,2.0,,,,,,,0.125,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6376_output,NEUMUNSTER,MARSHALLING YARD,5405N,1000E,47603 630,03,9.0,0.0,1035.0,R,102G,2.0,230.0,3.0,N,2.0,6.666666666666667,2.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4267_output,NEUMUNSTER,AIRDROME,5405N,1000E,47603 780,08-09,9.0,0.0,1315.0,R,310G,1.0,210.0,3.0,N,2.0,2.0,2.0,0.25,4.0,2.0,60.0,2.0,0.12,,,,0.37,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4267_output,NEUMUNSTER,AIRDROME,5405N,1000E,47603 780,09-10,9.0,0.0,1330.0,R,312G,1.0,210.0,3.0,N,2.0,8.0,2.0,1.0,4.0,2.0,60.0,2.0,0.12,,,,1.12,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6376_output,NEUMUNSTER,MARSHALLING YARD,5405N,1000E,47603 630,3,9.0,0.0,1030.0,R,101G,2.0,225.0,3.0,N,2.0,6.0,2.0,0.9,4.0,3.0,60.0,2.0,0.12,,,,1.02,False
BOX_7,BOOK_15_TACTICAL,IMG_7605_output,NEUMUNSTER,ANTI AIRCRAFT,,,47603,16-17,11.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,1.0,,,,,,,1.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7605_output,NEUMUNSTER,ANTI AIRCRAFT,,,47603,16-17,11.0,0.0,,R,,1.0,,,,,2.0,2.0,0.3,,2.0,,,,,,,0.3,False
BOX_7,BOOK_15_TACTICAL,IMG_7605_output,NEUMUNSTER,ANTI AIRCRAFT,,,47603,18,11.0,0.0,,R,,1.0,,,,,1.0,1.0,0.05,,5.0,,,,,,,0.05,False
