box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2197_output,NEURUPPIN,UNIDENTIFIED TARGET,5232N,1245E,4760620,23-24,9.0,0.0,,R,,1.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2197_output,NEURUPPIN,UNIDENTIFIED TARGET,5232N,1245E,4760620,23-24,9.0,0.0,,R,,1.0,,,,,5.0,3.0,1.25,,,120.0,2.0,0.24,,,,1.49,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2197_output,NEURUPPIN,UNIDENTIFIED TARGET,5232N,1245E,4760620,20-21,10.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2197_output,NEURUPPIN,UNIDENTIFIED TARGET,5232N,1245E,4760620,22,10.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2197_output,NEURUPPIN,UNIDENTIFIED TARGET,5232N,1245E,4760620,23-24,10.0,0.0,,R,,1.0,,,,,3.0,3.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2197_output,NEURUPPIN,UNIDENTIFIED TARGET,5232N,1245E,4760620,26-27,10.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2197_output,NEURUPPIN,UNIDENTIFIED TARGET,5232N,1245E,4760620,26-27,11.0,0.0,,R,,1.0,,,,,2.0,3.0,0.6,,,120.0,2.0,0.24,,,,0.84,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2197_output,NEURUPPIN,UNIDENTIFIED TARGET,5232N,1245E,4760620,26-27,11.0,0.0,,R,,1.0,,,,,1.0,5.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2197_output,NEURUPPIN,UNIDENTIFIED TARGET,5232N,1245E,4760620,12-13,8.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2197_output,NEURUPPIN,UNIDENTIFIED TARGET,5232N,1245E,4760620,12-13,8.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2197_output,NEURUPPIN,UNIDENTIFIED TARGET,5232N,1245E,4760620,07-08,9.0,1.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2196_output,NEURUPPIN,UNIDENTIFIED TARGET,5255N,1457,47606,28.0,3.0,5.0,,8.0,92AG,1.0,,,,3.0,8.0,3.0,2.0,4.0,2.0,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2196_output,NEURUPPIN,UNIDENTIFIED TARGET,5255N,1457,47606,29.0,3.0,5.0,,8.0,92BG,1.0,,,,4.0,8.0,3.0,2.0,4.0,2.0,4.0,6.0,1.0,,,,3.0,False
