box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,27,5.0,0.0,1120.0,R,302G,4.0,260.0,6.0,N,1.0,13.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,27-28,5.0,0.0,1127.0,R,303G,4.0,270.0,6.0,N,1.0,26.0,2.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,02-03,7.0,0.0,1135.0,R,305G,1.0,265.0,6.0,N,2.0,5.0,11.0,1.0,4.0,3.0,60.0,2.0,0.12,,,,1.12,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,29,11.0,0.0,1145.0,R,307G,2.0,265.0,6.0,N,2.0,10.0,3.0,3.0,4.0,3.0,360.0,2.0,0.72,,,,3.72,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,29,11.0,0.0,1150.0,R,308G,2.0,265.0,6.0,N,2.0,8.0,2.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,30,11.0,0.0,1200.0,R,309G,4.0,265.0,6.0,N,2.0,8.0,2.0,1.0,4.0,3.0,120.0,4.0,1.0,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,01,12.0,0.0,1205.0,R,310G,1.0,265.0,6.0,N,2.0,2.0,4.0,1.0,4.0,3.0,120.0,2.0,0.24,,,,1.24,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,04-05,12.0,0.0,1210.0,R,311G,1.0,265.0,6.0,N,2.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,06,12.0,0.0,1215.0,R,312G,1.0,265.0,6.0,N,2.0,4.0,2.0,0.6,4.0,3.0,,,,,,,0.6,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,07-08,12.0,0.0,1200.0,R,318G,1.0,265.0,6.0,N,2.0,1.0,5.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,07-08,12.0,0.0,1300.0,R,313G,1.0,265.0,6.0,N,2.0,4.0,3.0,1.0,4.0,3.0,120.0,2.0,0.24,,,,1.24,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,07-08,12.0,0.0,1300.0,R,314G,1.0,265.0,6.0,N,2.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,09-15,12.0,0.0,1315.0,R,315G,1.0,265.0,6.0,N,2.0,2.0,3.0,0.6,4.0,3.0,,,,,,,0.6,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,16-17,12.0,0.0,1330.0,R,316G,1.0,265.0,6.0,N,2.0,3.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,7,12.0,0.0,1330.0,R,317G,1.0,265.0,6.0,N,2.0,2.0,4.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,6,5.0,1.0,1125.0,8,322G,1.0,268.0,7.0,N,3.0,6.0,3.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,5,12.0,1.0,1145.0,R,319G,1.0,265.0,6.0,N,2.0,2.0,2.0,0.3,4.0,3.0,,,,,,,0.3,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,31,1.0,2.0,1119.0,8,379CG,10.0,271.0,5.0,N,1.0,176.0,2.0,22.0,4.0,3.0,20.0,6.0,5.0,,,,27.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,31,1.0,2.0,1119.0,8,384G,13.0,264.0,5.0,N,1.0,233.0,2.0,29.0,4.0,3.0,26.0,12.0,7.0,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,03-04,12.0,4.0,1125.0,R,384A,2.0,320.0,5.0,N,1.0,2.0,6.0,4.0,4.0,3.0,,,,,,,4.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,04,12.0,4.0,32.0,R,384G,2.0,300.0,5.0,N,1.0,200.0,1.0,4.0,4.0,3.0,,,,,,,4.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,3,12.0,4.0,1124.0,8,384CG,12.0,270.0,5.0,N,1.0,213.0,2.0,27.0,4.0,3.0,24.0,6.0,6.0,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,31,12.0,4.0,1124.0,8,384BG,12.0,254.0,5.0,N,1.0,215.0,2.0,27.0,4.0,3.0,24.0,6.0,6.0,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,31,12.0,4.0,1127.0,8,303AG,12.0,267.0,5.0,N,1.0,212.0,2.0,27.0,4.0,3.0,24.0,6.0,6.0,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,31,12.0,4.0,1127.0,8,303BG,13.0,256.0,5.0,N,1.0,207.0,2.0,26.0,4.0,3.0,24.0,6.0,6.0,,,,32.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,31,12.0,4.0,1127.0,8,303CG,12.0,280.0,5.0,N,1.0,213.0,2.0,27.0,4.0,3.0,24.0,6.0,6.0,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,31,12.0,4.0,1127.0,8,379G,13.0,270.0,5.0,N,1.0,228.0,2.0,29.0,4.0,3.0,25.0,6.0,6.0,,,,35.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6381_output,NEUSS,MARSHALLING YARD,5112N,642E,47607 630,31,12.0,4.0,1127.0,8,379BG,13.0,263.0,5.0,N,1.0,212.0,2.0,27.0,4.0,3.0,24.0,6.0,6.0,,,,33.0,False
