box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4271_output,NIEDERMENDIG,AIRDROME,521N,734E,47616 780,5.0,1.0,5.0,131.0,8.0,92AG,11.0,232.0,5.0,N,1.0,414.0,1.0,21.0,4.0,3.0,,,,,,,21.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4271_output,NIEDERMENDIG,AIRDROME,521N,734E,47616 780,5.0,1.0,5.0,131.0,8.0,92BG,9.0,227.0,5.0,N,1.0,340.0,1.0,17.0,1.0,3.0,,,,,,,17.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4271_output,NIEDERMENDIG,AIRDROME,521N,734E,47616 780,5.0,1.0,5.0,131.0,8.0,92CG,12.0,238.0,5.0,N,1.0,451.0,1.0,23.0,1.0,3.0,,,,,,,23.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4271_output,NIEDERMENDIG,AIRDROME,521N,734E,47616 780,5.0,1.0,5.0,131.0,8.0,303G,10.0,233.0,5.0,N,1.0,36.0,1.0,2.0,1.0,3.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4271_output,NIEDERMENDIG,AIRDROME,521N,734E,47616 780,5.0,1.0,5.0,131.0,8.0,306G,9.0,236.0,5.0,N,1.0,318.0,1.0,16.0,1.0,3.0,,,,,,,16.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4271_output,NIEDERMENDIG,AIRDROME,521N,734E,47616 780,5.0,1.0,5.0,131.0,8.0,306BG,3.0,230.0,5.0,N,1.0,114.0,1.0,6.0,1.0,3.0,,,,,,,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4271_output,NIEDERMENDIG,AIRDROME,521N,734E,47616 780,5.0,1.0,5.0,131.0,8.0,306G,7.0,242.0,5.0,N,1.0,227.0,1.0,11.0,1.0,3.0,,,,,,,11.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4271_output,NIEDERMENDIG,AIRDROME,521N,734E,47616 780,5.0,1.0,5.0,131.0,8.0,379G,5.0,240.0,5.0,N,1.0,38.0,1.0,2.0,1.0,3.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4271_output,NIEDERMENDIG,AIRDROME,521N,734E,47616 780,5.0,1.0,5.0,131.0,8.0,383G,53.0,240.0,5.0,N,1.0,1.0,1.0,0.05,1.0,3.0,,,,,,,0.05,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4271_output,NIEDERMENDIG,AIRDROME,521N,734E,47616 780,5.0,1.0,5.0,131.0,8.0,384G,53.0,240.0,5.0,N,1.0,2.0,1.0,0.1,1.0,3.0,,,,,,,0.1,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4271_output,NIEDERMENDIG,AIRDROME,521N,734E,47616 780,5.0,1.0,5.0,131.0,8.0,387G,53.0,240.0,5.0,N,1.0,1.0,1.0,0.05,1.0,3.0,,,,,,,0.05,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4271_output,NIEDERMENDIG,AIRDROME,521N,734E,47616 780,5.0,1.0,5.0,131.0,8.0,388G,53.0,240.0,5.0,N,1.0,1.0,1.0,0.05,1.0,3.0,,,,,,,0.05,False
