box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5729_output,NIMES,MARSHALLING YARDS,4350N,422E,43654 630,26.0,5.0,4.0,1021.0,15.0,465G,29.0,205.0,7.0,G,1.0,232.0,3.0,58.0,4.0,91.0,,,,,,,58.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5729_output,NIMES,MARSHALLING YARDS,4350N,422E,43654 630,26.0,5.0,4.0,1023.0,15.0,464G,25.0,200.0,7.0,C,1.0,217.0,3.0,54.0,4.0,91.0,,,,,,,54.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5729_output,NIMES,MARSHALLING YARDS,4350N,422E,43654 630,27.0,5.0,4.0,1023.0,15.0,460G,33.0,220.0,7.0,G,1.0,250.0,3.0,62.5,4.0,91.0,,,,,,,62.5,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5729_output,NIMES,MARSHALLING YARDS,4350N,422E,43654 630,27.0,5.0,4.0,1027.0,15.0,485G,35.0,200.0,7.0,G,1.0,280.0,3.0,70.0,4.0,91.0,,,,,,,70.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5729_output,NIMES,MARSHALLING YARDS,4350N,422E,43654 630,1.0,7.0,4.0,1500.0,15.0,457G,1.0,205.0,7.0,N,3.0,10.0,3.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5729_output,NIMES,MARSHALLING YARDS,4350N,422E,43654 630,11.0,7.0,4.0,1131.0,15.0,466G,30.0,205.0,7.0,G,1.0,294.0,3.0,74.0,4.0,91.0,,,,,,,74.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5729_output,NIMES,MARSHALLING YARDS,4350N,422E,43654 630,11.0,7.0,4.0,1445.0,15.0,465G,1.0,205.0,7.0,N,1.0,10.0,3.0,3.0,4.0,91.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5729_output,NIMES,MARSHALLING YARDS,4350N,422E,43654 630,12.0,7.0,4.0,1115.0,15.0,461G,25.0,200.0,7.0,G,1.0,225.0,3.0,56.0,4.0,91.0,,,,,,,56.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5730_output,NIMES,MY CENYER,4350N,422E,43654 631,12.0,7.0,4.0,1126.0,15.0,484G,32.0,200.0,7.0,G,1.0,288.0,3.0,72.0,4.0,2.0,,,,,,,72.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5729_output,NIMES,MARSHALLING YARDS,4350N,422E,43654 630,12.0,7.0,4.0,1133.0,15.0,464G,20.0,205.0,7.0,G,1.0,194.0,3.0,49.0,4.0,91.0,,,,,,,49.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5729_output,NIMES,MARSHALLING YARDS,4350N,422E,43654 630,12.0,7.0,4.0,1134.0,15.0,460G,31.0,210.0,7.0,G,1.0,310.0,3.0,78.0,4.0,91.0,,,,,,,78.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5729_output,NIMES,MARSHALLING YARDS,4350N,422E,43654 630,12.0,7.0,4.0,1200.0,15.0,465G,1.0,205.0,7.0,N,1.0,9.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5730_output,NIMES,MY CENYER,4350N,422E,43654 631,5.0,7.0,4.0,1133.0,15.0,485G,71.0,195.0,7.0,G,1.0,390.0,3.0,97.5,4.0,91.0,,,,,,,97.5,False
