box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,16-17,8.0,0.0,1200.0,R,385G,1.0,250.0,1.0,N,2.0,4.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,26-27,8.0,0.0,1203.0,R,387G,2.0,250.0,1.0,N,2.0,4.0,3.0,1.0,4.0,2.0,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,26-27,8.0,0.0,1204.0,R,388G,2.0,250.0,1.0,N,2.0,4.0,3.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,14-15,10.0,0.0,1300.0,R,390G,1.0,250.0,1.0,N,2.0,7.0,2.0,1.0,4.0,2.0,6.0,2.0,0.012,,,,1.012,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,07,7.0,4.0,1200.0,8,392G,1.0,250.0,1.0,N,2.0,70.0,3.0,18.0,4.0,2.0,,,,,,,18.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,20,7.0,4.0,1204.0,8,305G,1.0,250.0,1.0,N,2.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,20,7.0,4.0,1204.0,8,384AG,10.0,250.0,1.0,N,3.0,100.0,3.0,25.0,4.0,2.0,,,,,,,25.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,20,7.0,4.0,1204.0,8,384CG,11.0,253.0,1.0,N,3.0,110.0,3.0,28.0,4.0,2.0,,,,,,,28.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,20,7.0,4.0,1204.0,8,398AG,1.0,250.0,1.0,N,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,24,8.0,4.0,1324.0,8,351AG,12.0,250.0,1.0,N,2.0,,,,,,120.0,6.0,30.0,,,,30.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,24,8.0,4.0,1324.0,8,447AG,1.0,250.0,1.0,N,3.0,5.0,3.0,1.25,4.0,3.0,,,,,,,1.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,07,10.0,4.0,1250.0,8,452AG,12.0,246.0,1.0,N,2.0,112.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,07,10.0,4.0,1300.0,8,381AG,11.0,250.0,1.0,N,3.0,10.0,3.0,2.5,4.0,3.0,40.0,5.0,2.0,,,,4.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,07,10.0,4.0,1330.0,8,381BG,12.0,250.0,1.0,N,3.0,,,,,,40.0,5.0,2.0,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,07,10.0,4.0,1330.0,8,381CG,12.0,250.0,1.0,N,3.0,,,,,,49.0,7.0,2.0,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,07,10.0,4.0,1330.0,8,388CG,11.0,236.0,1.0,N,3.0,106.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4272_output,Nordhausen,Airdrome,5130N,1050E,47621 780,07,10.0,4.0,1330.0,8,452BG,4.0,250.0,1.0,N,2.0,40.0,3.0,10.0,4.0,3.0,,,,,,,10.0,False
