box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6396_output,Nurnberg,Nurnberg Marshalling Yard,4927N,1103E,47626,03,1.0,0.0,1127.0,8,98G,11.0,236.0,3.0,N,2.0,6.0,3.0,2.0,4.0,3.0,110.0,6.0,27.5,,,,29.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6396_output,Nurnberg,Nurnberg Marshalling Yard,4927N,1103E,47626,3,1.0,0.0,1117.0,8,96G,11.0,250.0,3.0,N,2.0,106.0,3.0,27.0,4.0,2.0,,,,,,,27.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6396_output,Nurnberg,Nurnberg Marshalling Yard,4927N,1103E,47626,03,3.0,1.0,1127.0,8,100BG,12.0,253.0,3.0,N,2.0,100.0,3.0,25.0,4.0,2.0,10.0,12.0,3.0,,,,28.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6396_output,Nurnberg,Nurnberg Marshalling Yard,4927N,1103E,47626,3,3.0,1.0,1127.0,8,99G,11.0,242.0,3.0,N,2.0,98.0,3.0,25.0,4.0,2.0,,,,,,,25.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6396_output,Nurnberg,Nurnberg Marshalling Yard,4927N,1103E,47626,03,10.0,1.0,146.0,R,34BG,12.0,258.0,3.0,N,2.0,111.0,3.0,24.0,4.0,2.0,,,,,,,24.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6396_output,Nurnberg,Nurnberg Marshalling Yard,4927N,1103E,47626,03,10.0,1.0,146.0,R,34CG,13.0,235.0,3.0,N,2.0,10.0,3.0,3.0,4.0,2.0,114.0,6.0,28.5,,,,31.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6396_output,Nurnberg,Nurnberg Marshalling Yard,4927N,1103E,47626,03,10.0,1.0,146.0,R,94G,16.0,247.0,3.0,N,2.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6396_output,Nurnberg,Nurnberg Marshalling Yard,4927N,1103E,47626,03,10.0,1.0,146.0,R,34G,13.0,242.0,3.0,N,2.0,106.0,3.0,34.0,4.0,2.0,,,,,,,34.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6396_output,Nurnberg,Nurnberg Marshalling Yard,4927N,1103E,47626,03,10.0,1.0,146.0,R,95G,11.0,251.0,3.0,N,2.0,106.0,3.0,27.0,4.0,2.0,110.0,6.0,27.5,,,,54.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6396_output,Nurnberg,Nurnberg Marshalling Yard,4927N,1103E,47626,03,10.0,1.0,1117.0,R,95G,12.0,242.0,3.0,N,2.0,106.0,3.0,27.0,4.0,2.0,,,,,,,27.0,False
