box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6405_output,OBERLAHNSTEIN,MARSHALLING YARD,518N,737E,47743 630,1.0,11.0,2.0,1244.0,9.0,379AG,12.0,260.0,5.0,N,1.0,142.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6405_output,OBERLAHNSTEIN,MARSHALLING YARD,518N,737E,47743 630,1.0,11.0,2.0,1244.0,9.0,379AG,12.0,253.0,5.0,N,1.0,142.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6405_output,OBERLAHNSTEIN,MARSHALLING YARD,518N,737E,47743 630,1.0,11.0,3.0,1243.0,9.0,379CG,12.0,260.0,5.0,N,1.0,142.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6405_output,OBERLAHNSTEIN,MARSHALLING YARD,518N,737E,47743 630,4.0,11.0,3.0,1321.0,8.0,306CG,12.0,297.0,5.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6405_output,OBERLAHNSTEIN,MARSHALLING YARD,518N,737E,47743 630,1.0,12.0,3.0,1244.0,9.0,384AG,12.0,283.0,5.0,N,1.0,143.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6405_output,OBERLAHNSTEIN,MARSHALLING YARD,518N,737E,47743 630,1.0,11.0,4.0,1245.0,8.0,303AG,13.0,261.0,5.0,N,1.0,156.0,3.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6405_output,OBERLAHNSTEIN,MARSHALLING YARD,518N,737E,47743 630,1.0,11.0,4.0,1246.0,8.0,303BG,12.0,255.0,5.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6405_output,OBERLAHNSTEIN,MARSHALLING YARD,518N,737E,47743 630,11.0,11.0,4.0,1138.0,8.0,493BG,10.0,249.0,6.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6405_output,OBERLAHNSTEIN,MARSHALLING YARD,518N,737E,47743 630,11.0,11.0,4.0,1138.0,8.0,493CG,12.0,234.0,6.0,N,1.0,141.0,3.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6405_output,OBERLAHNSTEIN,MARSHALLING YARD,518N,737E,47743 630,11.0,11.0,4.0,1143.0,8.0,95AG,12.0,255.0,6.0,N,1.0,138.0,3.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6405_output,OBERLAHNSTEIN,MARSHALLING YARD,518N,737E,47743 630,11.0,11.0,4.0,1143.0,8.0,95BG,12.0,263.0,6.0,N,1.0,129.0,3.0,32.0,4.0,3.0,,,,,,,32.0,False
