box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0683_output,Oderthal,Oil Refinery Synthetic,5140N,1030E,520 47777,7,7.0,4.0,1130.0,8,455G,2.4,250.0,7.0,G,1.0,236.0,3.0,59.0,4.0,91.0,,,,,,,59.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0683_output,Oderthal,Oil Refinery Synthetic,5140N,1030E,520 47777,8,7.0,4.0,1128.0,8,456G,35.0,250.0,7.0,G,1.0,342.0,3.0,86.0,4.0,91.0,,,,,,,86.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0683_output,Oderthal,Oil Refinery Synthetic,5140N,1030E,520 47777,8,7.0,4.0,1132.0,8,457G,35.0,250.0,7.0,G,1.0,583.3333333333334,3.0,175.0,4.0,91.0,999.0,7.0,41.958,,,,216.958,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0683_output,Oderthal,Oil Refinery Synthetic,5140N,1030E,520 47777,10,8.0,4.0,1530.0,8,459G,1.0,250.0,7.0,G,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0683_output,Oderthal,Oil Refinery Synthetic,5140N,1030E,520 47777,22,8.0,4.0,1130.0,8,462G,28.0,263.0,7.0,C,1.0,420.0,2.0,53.0,4.0,3.0,,,,,,,53.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0683_output,Oderthal,Oil Refinery Synthetic,5140N,1030E,520 47777,22,8.0,4.0,1134.0,8,460G,27.0,251.0,7.0,G,1.0,400.0,2.0,50.0,4.0,3.0,,,,,,,50.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0683_output,Oderthal,Oil Refinery Synthetic,5140N,1030E,520 47777,22,8.0,4.0,1137.0,8,461G,27.0,273.0,7.0,G,1.0,422.0,2.0,53.0,4.0,3.0,,,,,,,53.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0683_output,Oderthal,Oil Refinery Synthetic,5140N,1030E,520 47777,22,8.0,4.0,1139.0,8,463G,26.0,245.0,1.0,C,1.0,416.0,2.0,52.0,4.0,3.0,,,,,,,52.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0683_output,Oderthal,Oil Refinery Synthetic,5140N,1030E,520 47777,22,8.0,4.0,1140.0,8,464G,26.0,275.0,7.0,G,1.0,511.0,2.0,64.0,4.0,3.0,,,,,,,64.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0683_output,Oderthal,Oil Refinery Synthetic,5140N,1030E,520 47777,22,8.0,4.0,1143.0,8,463G,27.0,247.0,7.0,C,1.0,528.0,2.0,66.0,4.0,3.0,,,,,,,66.0,False
