box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6413_output,OLDENBURG,ROAD JUNCTION,5308N,813E,47760 650,06-07,6.0,0.0,,R,,4.0,,,,,4.0,2.0,0.6,,,60.0,2.0,0.12,,,,0.72,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6413_output,OLDENBURG,ROAD JUNCTION,5308N,813E,47760 650,6,6.0,0.0,,R,,4.0,,,,,,,,,,60.0,31.0,1.0,,,,1.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7610_output,OLDENBURG,ANTI AIRCRAFT BTRY,47760,820,,05-06,11.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,360.0,2.0,0.72,,,,1.72,False
BOX_7,BOOK_15_TACTICAL,IMG_7610_output,OLDENBURG,ANTI AIRCRAFT BTRY,47760,820,,07,12.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2233_output,OLDENBURG,CITY AREA,5309N,813E,47760,02-03,1.0,1.0,,R,,1.0,,2,G,2.0,4.0,3.0,1.0,1.0,,400.0,4.0,2.0,,,,3.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7610_output,OLDENBURG,ANTI AIRCRAFT BTRY,47760,820,,1,1.0,1.0,,R,,1.0,,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_7,BOOK_15_TACTICAL,IMG_7610_output,OLDENBURG,ANTI AIRCRAFT BTRY,47760,820,,1,1.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2233_output,OLDENBURG,CITY AREA,5309N,813E,47760,2,1.0,1.0,,R,,1.0,,1,G,1.0,4.0,3.0,1.0,1.0,,,,,,,,1.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7610_output,OLDENBURG,ANTI AIRCRAFT BTRY,47760,820,,29,1.0,1.0,,R,,1.0,,,,,2.0,3.0,0.6,,,120.0,2.0,0.24,,,,0.84,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2233_output,OLDENBURG,CITY AREA,5309N,813E,47760,03,2.0,1.0,,R,,1.0,,3,G,3.0,4.0,3.0,1.0,1.0,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2233_output,OLDENBURG,CITY AREA,5309N,813E,47760,11-12,2.0,1.0,,R,,1.0,,4,G,4.0,4.0,3.0,1.0,1.0,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2233_output,OLDENBURG,CITY AREA,5309N,813E,47760,11-12,2.0,1.0,,R,,1.0,,5,G,4.0,4.0,3.0,1.0,1.0,,400.0,4.0,2.0,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2233_output,OLDENBURG,CITY AREA,5309N,813E,47760,13-15,2.0,1.0,,R,,1.0,,6,G,3.0,4.0,3.0,1.0,1.0,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2233_output,OLDENBURG,CITY AREA,5309N,813E,47760,16-17,3.0,1.0,,R,,1.0,,7,G,3.0,6.0,3.0,2.0,1.0,,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2233_output,OLDENBURG,CITY AREA,5309N,813E,47760,16-17,3.0,1.0,,R,,1.0,,8,G,3.0,6.666666666666667,3.0,2.0,1.0,,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2233_output,OLDENBURG,CITY AREA,5309N,813E,47760,16-17,4.0,1.0,,R,,1.0,,9,G,3.0,4.0,3.0,1.0,1.0,,,4.0,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2233_output,OLDENBURG,CITY AREA,5309N,813E,47760,16-17,4.0,1.0,,R,,1.0,,10,G,3.0,4.0,3.0,1.0,1.0,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2233_output,OLDENBURG,CITY AREA,5309N,813E,47760,16-17,4.0,1.0,,R,,1.0,,11,G,3.0,4.0,3.0,1.0,1.0,,400.0,4.0,2.0,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2233_output,OLDENBURG,CITY AREA,5309N,813E,47760,16-17,4.0,1.0,,R,,1.0,,12,G,3.0,2.0,2.0,0.3,1.0,,,,,,,,0.3,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2233_output,OLDENBURG,CITY AREA,5309N,813E,47760,18-21,5.0,1.0,,R,,2.0,,13,G,3.0,2.0,2.0,0.3,1.0,,,,,,,,0.3,False
BOX_7,BOOK_15_TACTICAL,IMG_7610_output,OLDENBURG,ANTI AIRCRAFT BTRY,47760,820,,2,6.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_7,BOOK_15_TACTICAL,IMG_7610_output,OLDENBURG,ANTI AIRCRAFT BTRY,47760,820,,20-21,6.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
