box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2610_output,OLEN,SXBPORTAS BORBU,5213N,1124E,49572 10,1-4,1.0,5.0,,8.0,466BG,1.0,,,,3.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2609_output,OLEN,SXBPORTAS BORBU,52 36 N,9 21 E,49555 1.0,14.0,1.0,5.0,,8,100AG,1.0,,,,3.0,5.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2609_output,OLEN,SXBPORTAS BORBU,52 36 N,9 21 E,49555 1.0,15.0,1.0,5.0,,8,101AG,1.0,,,,3.0,6.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2609_output,OLEN,SXBPORTAS BORBU,52 36 N,9 21 E,49555 1.0,15.0,1.0,5.0,,8,102AG,1.0,,,,3.0,7.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2608_output,OLEN,SXBPORTAS BORBU,5228N,812E,49544 10,16.0,1.0,5.0,,8.0,493AG,1.0,,,,3.0,12.0,3.0,3.0,9.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2607_output,OLEN,SXBPORTAS BORBU,52 12 N,8 56 E,49543 10,17.0,1.0,5.0,,8.0,351AG,1.0,,,,3.0,6.0,4.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2608_output,OLEN,SXBPORTAS BORBU,5228N,812E,49544 10,17.0,1.0,5.0,,8.0,92G,1.0,,,,3.0,12.0,3.0,3.0,9.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2608_output,OLEN,SXBPORTAS BORBU,5228N,812E,49544 10,18.0,1.0,5.0,,8.0,100G,1.0,,,,3.0,12.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2608_output,OLEN,SXBPORTAS BORBU,5228N,812E,49544 10,20.0,1.0,5.0,,8.0,102G,2.0,,,,3.0,12.0,3.0,3.6,4.0,2.0,,,,,,,3.6,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2606_output,OLEN,SXBPORTAS BORBU,5251N,747E,49539 10,2.0,2.0,5.0,,8.0,44G,1.0,,,,3.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
