box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4023_output,Orleans,PARIS LE BOURGET AIRDROME,4851N,220E,43905 780,15,8.0,0.0,800.0,R,305G,1.0,240.0,7.0,G,1.0,2.0,2.0,0.25,4.0,3.0,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4023_output,Orleans,PARIS LE BOURGET AIRDROME,4851N,220E,43905 780,17,8.0,0.0,900.0,R,305A,1.0,240.0,7.0,G,1.0,12.0,2.0,1.5,4.0,3.0,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4020_output,Orleans,Bricy AD,4754N,154E,43840 781 745,17-18,8.0,0.0,1100.0,R,305G,1.0,153.0,1.0,G,1.0,2.0,2.0,0.25,4.0,2.0,100.0,2.0,0.2,,,,0.45,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4020_output,Orleans,Bricy AD,4754N,154E,43840 781 745,19-20,8.0,0.0,1200.0,R,307G,1.0,150.0,1.0,G,1.0,4.0,2.0,0.6,4.0,2.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4022_output,Orleans,Saran,4754N,154E,43840 782,22-23,8.0,0.0,1430.0,R,34CG,1.0,300.0,1.0,N,2.0,12.0,2.0,1.5,4.0,3.0,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4022_output,Orleans,Saran,4754N,154E,43840 782,22-23,8.0,0.0,,R,34CG,1.0,300.0,1.0,N,2.0,2.0,2.0,0.25,4.0,3.0,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4020_output,Orleans,Bricy AD,4754N,154E,43840 781 745,23,8.0,0.0,1202.0,R,309G,1.0,150.0,1.0,G,1.0,2.0,2.0,0.3,4.0,2.0,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4020_output,Orleans,Bricy AD,4754N,154E,43840 781 745,23-24,8.0,0.0,1203.0,R,310G,1.0,150.0,1.0,G,1.0,12.0,2.0,1.5,4.0,2.0,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4020_output,Orleans,Bricy AD,4754N,154E,43840 781 745,24,8.0,0.0,1204.0,R,312G,1.0,150.0,1.0,G,1.0,6.0,4.0,4.0,4.0,2.0,110.0,2.0,0.22,,,,4.22,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4020_output,Orleans,Bricy AD,4754N,154E,43840 781 745,24-25,8.0,0.0,1203.0,R,313G,1.0,150.0,1.0,G,1.0,1.0,2.0,0.125,4.0,2.0,120.0,2.0,0.24,,,,0.365,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4022_output,Orleans,Saran,4754N,154E,43840 782,15-16,11.0,0.0,900.0,R,34CG,1.0,300.0,1.0,N,2.0,1.0,2.0,0.125,4.0,3.0,,,,,,,0.125,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4020_output,Orleans,Bricy AD,4754N,154E,43840 781 745,15-16,11.0,0.0,1203.0,R,315G,1.0,150.0,1.0,G,1.0,12.0,3.0,3.6,4.0,2.0,,,,,,,3.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4023_output,Orleans,PARIS LE BOURGET AIRDROME,4851N,220E,43905 780,20-21,3.0,1.0,1430.0,R,305A,1.0,240.0,7.0,G,1.0,6.0,2.0,0.9,4.0,3.0,,,,,,,0.9,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4023_output,Orleans,PARIS LE BOURGET AIRDROME,4851N,220E,43905 780,20-21,3.0,1.0,1500.0,R,305A,1.0,240.0,7.0,G,1.0,800.0,2.0,100.0,4.0,3.0,,,,,,,100.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5739_output,Orleans,Railway,,,0001002,21,5.0,3.0,600.0,R,,3.0,,,,,12.0,3.0,3.0,,,,,,,,,3.0,False
