box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1337_output,Oslo,Total Gestapo HQs,,,16665 40,25.0,9.0,2.0,,R,,3.0,,,,,10.0,3.0,3.0,,,,,,,,,3.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1337_output,Oslo,Total Gestapo HQs,,,16665 40,26.0,10.0,2.0,,R,,3.0,,,,,9.0,3.0,3.0,,,,,,,,,3.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3813_output,Oslo,Kjeller Airdrome,5958N,1103E,4546,1.0,11.0,3.0,1200.0,8.0,93G,9.0,140.0,7.0,P,1.0,238.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3204_output,Oslo,BMW AG Kjeller,5958N,1103E,16665,18.0,11.0,3.0,1145.0,8.0,44G,31.0,100.0,7.0,G,1.0,234.0,3.0,59.0,4.0,3.0,,,,,,,59.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3813_output,Oslo,Kjeller Airdrome,5958N,1103E,4546,18.0,11.0,3.0,1730.0,8.0,94G,10.0,130.0,7.0,C,1.0,226.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3813_output,Oslo,Kjeller Airdrome,5958N,1103E,4546,19.0,11.0,3.0,1143.0,8.0,95G,11.0,120.0,7.0,C,1.0,214.0,1.0,9.0,4.0,3.0,,,,,,,9.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3813_output,Oslo,Kjeller Airdrome,5958N,1103E,4546,20.0,11.0,3.0,700.0,8.0,96G,12.0,110.0,7.0,C,1.0,204.0,3.0,54.0,4.0,3.0,,,,,,,54.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3205_output,Oslo,Oslo Airframe Rep Fac,,,16665 140,28,4.0,4.0,,R,,50.0,,,,,36.0,6.0,72.0,,,,,,,,,72.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3205_output,Oslo,Oslo Airframe Rep Fac,,,16665 140,28,4.0,4.0,,R,,50.0,,,,,37.0,6.0,74.0,,,,,,,,,74.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3205_output,Oslo,Oslo Airframe Rep Fac,,,16665 140,28-29,4.0,4.0,,R,,50.0,,,,,10.0,6.0,20.0,,,,,,,,,20.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3205_output,Oslo,Oslo Airframe Rep Fac,,,16665 140,28-29,4.0,4.0,,R,,50.0,,,,,24.0,6.0,48.0,,,2200.0,31.0,33.0,,,,81.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1337_output,Oslo,Total Gestapo HQs,,,16665 40,31.0,12.0,4.0,,R,,8.0,,,,,8.0,4.0,4.0,,,,,,,,,4.0,False
BOX_2,BOOK_6_INDUSTRIAL__PART_1,IMG_1337_output,Oslo,Total Gestapo HQs,,,16665 40,31.0,12.0,4.0,,R,,8.0,,,,,7.0,4.0,4.0,,,,,,,,,4.0,False
