box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6851_output,Osterfield,Sud Marshalling Yards,2089,,94671 630,11.0,12.0,4.0,1101.0,R,,96.0,200.0,,,,54.0,6.0,108.0,,,,,,,,,108.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6851_output,Osterfield,Sud Marshalling Yards,2089,,94671 630,11.0,12.0,4.0,1101.0,R,,96.0,200.0,,,,490.0,4.0,245.0,,,,,,,,,245.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6851_output,Osterfield,Sud Marshalling Yards,2089,,94671 630,11.0,12.0,4.0,1101.0,R,,96.0,200.0,,,,139.0,4.0,70.0,,,,,,,,,70.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6851_output,Osterfield,Sud Marshalling Yards,2089,,94671 630,11.0,12.0,4.0,1101.0,R,,96.0,200.0,,,,560.0,3.0,140.0,,,,,,,,,140.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6851_output,Osterfield,Sud Marshalling Yards,2089,,94671 630,12.0,12.0,4.0,1841.0,R,,9.0,225.0,,,,27.0,3.0,7.0,,,,,,,,,7.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6851_output,Osterfield,Sud Marshalling Yards,2089,,94671 630,13.0,12.0,4.0,1841.0,R,,146.0,225.0,,,,145.0,6.0,290.0,,,8000.0,2.0,16.0,,,,306.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6851_output,Osterfield,Sud Marshalling Yards,2089,,94671 630,14.0,12.0,4.0,1841.0,R,,100.0,225.0,,,,145.0,6.0,263.0,,,8000.0,2.0,16.0,,,,279.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6851_output,Osterfield,Sud Marshalling Yards,2089,,94671 630,15.0,12.0,4.0,1841.0,R,,100.0,225.0,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6851_output,Osterfield,Sud Marshalling Yards,2089,,94671 630,16.0,12.0,4.0,1841.0,R,,125.0,225.0,,,,96.0,2.0,12.0,,,8000.0,2.0,16.0,,,,28.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6851_output,Osterfield,Sud Marshalling Yards,2089,,94671 630,17.0,12.0,4.0,1841.0,R,,155.0,225.0,,,,477.0,4.0,239.0,,,8000.0,2.0,16.0,,,,255.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6851_output,Osterfield,Sud Marshalling Yards,2089,,94671 630,18.0,12.0,4.0,600.0,R,,200.0,225.0,,,,850.0,5.0,850.0,,,32000.0,2.0,64.0,,,,914.0,False
