box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,16-17,6.0,0.0,,R,,1.0,,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,16-17,6.0,0.0,,R,,1.0,,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,18-26,6.0,0.0,,R,,1.0,,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,27-28,6.0,0.0,,R,,3.0,,,,,3.0,2.0,0.45,,,120.0,2.0,0.24,,,,0.69,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,01-02,7.0,0.0,,R,,1.0,,,,,11.0,2.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,03,7.0,0.0,,R,,1.0,,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,24-25,8.0,0.0,,R,,1.0,,,,,1.0,3.0,0.3,,,,,,,,,0.3,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,24-25,8.0,0.0,,R,,1.0,,,,,3.0,2.0,0.45,,,,,,,,,0.45,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,28-29,9.0,0.0,,R,,1.0,,,,,3.333333333333333,3.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,28-29,9.0,0.0,,R,,1.0,,,,,8.0,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,30,9.0,0.0,,R,,1.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,08-09,10.0,0.0,,R,,1.0,,,,,7.0,2.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,28,10.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,28,10.0,0.0,,R,,1.0,,,,,2.0,3.0,0.5,,,60.0,2.0,0.12,,,,0.62,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,28,10.0,0.0,,R,,1.0,,,,,5.0,11.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,28-29,10.0,0.0,,R,,1.0,,,,,3.0,3.0,1.0,,,120.0,2.0,0.24,,,,1.24,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,30,10.0,0.0,,R,,1.0,,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,23-24,11.0,0.0,,R,,1.0,,,,,2.0,3.0,0.6,,,180.0,2.0,0.36,,,,0.96,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,24,11.0,0.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,30,11.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,180.0,2.0,0.36,,,,1.36,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,30,11.0,0.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,30,12.0,0.0,,R,,1.0,,,,,3.0,3.0,1.0,,,360.0,2.0,0.72,,,,1.72,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,30,12.0,0.0,,R,,1.0,,,,,2.0,4.0,1.0,,,400.0,2.0,1.0,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,30,12.0,0.0,,R,,1.0,,,,,3.333333333333333,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,13,10.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,13-14,10.0,1.0,,R,,1.0,,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_2,IMG_4285_output,OSTHEIM,OSTHEIM AIRDROME,4776N,978E,41005,15,12.0,1.0,,R,,1.0,,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
