box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4025_output,PARIS,PARIS ORLY AD,4851N,220E,43905 782,07-08,11.0,0.0,1200.0,R,305G,1.0,250.0,1.0,N,1.0,2.0,2.0,0.25,4.0,2.0,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4025_output,PARIS,PARIS ORLY AD,4851N,220E,43905 782,07-08,11.0,0.0,1430.0,R,306G,1.0,250.0,1.0,N,1.0,12.0,2.0,1.5,4.0,2.0,,,,,,,1.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4025_output,PARIS,PARIS ORLY AD,4851N,220E,43905 782,08-09,11.0,0.0,1200.0,R,308G,1.0,250.0,1.0,N,1.0,6.0,2.0,0.75,4.0,2.0,,,,,,,0.75,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4025_output,PARIS,PARIS ORLY AD,4851N,220E,43905 782,08-09,11.0,0.0,1500.0,R,307G,1.0,250.0,1.0,N,1.0,1.0,2.0,0.125,4.0,2.0,,,,,,,0.125,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4025_output,PARIS,PARIS ORLY AD,4851N,220E,43905 782,10-11,11.0,0.0,930.0,R,309G,1.0,250.0,1.0,N,1.0,1.0,2.0,0.125,4.0,2.0,,,,,,,0.125,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4025_output,PARIS,PARIS ORLY AD,4851N,220E,43905 782,10-11,11.0,0.0,1434.0,R,310G,1.0,250.0,1.0,N,1.0,3.0,2.0,0.45,4.0,2.0,,,,,,,0.45,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4025_output,PARIS,PARIS ORLY AD,4851N,220E,43905 782,14-15,11.0,0.0,800.0,R,311G,1.0,250.0,1.0,N,1.0,4.0,2.0,0.6,4.0,1.0,,,,,,,0.6,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4025_output,PARIS,PARIS ORLY AD,4851N,220E,43905 782,14-15,11.0,0.0,1434.0,R,312G,1.0,250.0,1.0,N,1.0,6.666666666666667,2.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4025_output,PARIS,PARIS ORLY AD,4851N,220E,43905 782,06-07,12.0,0.0,1430.0,R,314G,1.0,250.0,1.0,N,1.0,6.0,2.0,0.9,4.0,2.0,,,,,,,0.9,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4025_output,PARIS,PARIS ORLY AD,4851N,220E,43905 782,06-07,12.0,0.0,1800.0,R,313G,1.0,250.0,1.0,N,1.0,6.666666666666667,2.0,1.0,4.0,2.0,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4024_output,PARIS,LE BOURGET AIRDROME,4851N,220E,43905 781,14.0,7.0,3.0,730.0,8.0,333G,3.0,260.0,7.0,G,1.0,32.0,2.0,4.0,4.0,3.0,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4024_output,PARIS,LE BOURGET AIRDROME,4851N,220E,43905 781,14.0,7.0,3.0,800.0,8.0,334G,5.0,240.0,7.0,G,1.0,80.0,2.0,10.0,4.0,2.0,,,,,,,10.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4024_output,PARIS,LE BOURGET AIRDROME,4851N,220E,43905 781,14.0,7.0,3.0,800.0,8.0,335G,5.0,240.0,7.0,G,1.0,64.0,2.0,8.0,4.0,2.0,,,,,,,8.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4024_output,PARIS,LE BOURGET AIRDROME,4851N,220E,43905 781,14.0,7.0,3.0,800.0,8.0,336G,6.0,240.0,7.0,G,1.0,96.0,2.0,12.0,4.0,2.0,,,,,,,12.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4024_output,PARIS,LE BOURGET AIRDROME,4851N,220E,43905 781,14.0,7.0,3.0,800.0,8.0,337G,7.0,230.0,7.0,G,1.0,48.0,2.0,6.0,4.0,2.0,,,,,,,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4024_output,PARIS,LE BOURGET AIRDROME,4851N,220E,43905 781,14.0,7.0,3.0,800.0,8.0,338G,8.0,230.0,7.0,P,1.0,96.0,2.0,12.0,4.0,3.0,,,,,,,12.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4024_output,PARIS,LE BOURGET AIRDROME,4851N,220E,43905 781,14.0,7.0,3.0,800.0,8.0,340G,10.0,220.0,7.0,G,1.0,80.0,2.0,12.0,4.0,2.0,,,,,,,12.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4024_output,PARIS,LE BOURGET AIRDROME,4851N,220E,43905 781,14.0,7.0,3.0,800.0,8.0,341G,11.0,260.0,7.0,G,1.0,80.0,2.0,10.0,4.0,2.0,,,,,,,10.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4024_output,PARIS,LE BOURGET AIRDROME,4851N,220E,43905 781,14.0,7.0,3.0,820.0,8.0,339G,9.0,220.0,7.0,G,1.0,16.0,3.0,4.0,4.0,3.0,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4024_output,PARIS,LE BOURGET AIRDROME,4851N,220E,43905 781,16.0,8.0,3.0,926.0,8.0,382G,15.0,220.0,7.0,G,1.0,303.0,2.0,38.0,4.0,2.0,,,,,,,38.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4024_output,PARIS,LE BOURGET AIRDROME,4851N,220E,43905 781,16.0,8.0,3.0,931.0,8.0,345G,15.0,200.0,7.0,G,1.0,319.0,2.0,40.0,4.0,2.0,,,,,,,40.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4024_output,PARIS,LE BOURGET AIRDROME,4851N,220E,43905 781,16.0,8.0,3.0,935.0,8.0,343G,13.0,192.0,7.0,N,1.0,279.0,2.0,35.0,4.0,2.0,,,,,,,35.0,False
