box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2277_output,Passau,City Area,4834N,1327E,47918 20,15.0,11.0,4.0,,15.0,456G,1.0,,7.0,N,3.0,4.0,3.0,1.0,4.0,91.0,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2277_output,Passau,City Area,4834N,1327E,47918 20,16.0,11.0,4.0,,15.0,456G,1.0,,8.0,N,3.0,2.0,3.0,0.6,4.0,92.0,,,,,,,0.6,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6455_output,Passau,Marshalling Yard,4834N,1327E,47918 630,19.0,3.0,5.0,1200.0,15.0,034G,9.0,170.0,1.0,N,4.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6455_output,Passau,Marshalling Yard,4834N,1327E,47918 630,19.0,3.0,5.0,1435.0,15.0,002G,1.0,145.0,1.0,N,2.0,5.0,3.0,1.25,4.0,2.0,,,,,,,1.25,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6455_output,Passau,Marshalling Yard,4834N,1327E,47918 630,19.0,3.0,5.0,1518.0,15.0,097G,7.0,140.0,1.0,N,2.0,70.0,3.0,18.0,2.0,4.0,,,,,,,18.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6455_output,Passau,Marshalling Yard,4834N,1327E,47918 630,18.0,4.0,5.0,1354.0,15.0,004G,10.0,180.0,1.0,N,2.0,276.0,3.0,69.0,4.0,3.0,,,,,,,69.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6455_output,Passau,Marshalling Yard,4834N,1327E,47918 630,18.0,4.0,5.0,1356.0,15.0,491G,12.0,195.0,1.0,N,2.0,256.0,3.0,64.0,4.0,3.0,14.0,5.0,0.7,,,,64.7,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6455_output,Passau,Marshalling Yard,4834N,1327E,47918 630,18.0,4.0,5.0,1359.0,15.0,458G,27.0,180.0,1.0,N,2.0,120.0,4.0,60.0,4.0,4.0,,,,,,,60.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6455_output,Passau,Marshalling Yard,4834N,1327E,47918 630,18.0,4.0,5.0,1400.0,15.0,093G,11.0,185.0,1.0,N,1.0,161.0,3.0,40.0,4.0,3.0,,,,,,,40.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6455_output,Passau,Marshalling Yard,4834N,1327E,47918 630,18.0,4.0,5.0,1400.0,15.0,046G,12.0,180.0,1.0,N,1.0,154.0,3.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6454_output,Passau,RR Bridge,4834N,1327E,47918 611,18.0,4.0,5.0,1401.0,8.0,445G,28.0,180.0,1.0,N,1.0,123.0,4.0,62.0,2.0,1.0,4.0,,5.0,,,,67.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6455_output,Passau,Marshalling Yard,4834N,1327E,47918 630,18.0,4.0,5.0,1404.0,15.0,448G,13.0,180.0,1.0,N,1.0,135.0,3.0,40.5,4.0,3.0,,,,,,,40.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6455_output,Passau,Marshalling Yard,4834N,1327E,47918 630,18.0,4.0,5.0,1410.0,15.0,490AS,20.0,210.0,4.0,N,2.0,108.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6455_output,Passau,Marshalling Yard,4834N,1327E,47918 630,18.0,4.0,5.0,1410.0,15.0,490BG,9.0,210.0,4.0,N,2.0,139.0,3.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6455_output,Passau,Marshalling Yard,4834N,1327E,47918 630,18.0,4.0,5.0,1445.0,15.0,466G,20.0,190.0,1.0,N,2.0,132.0,4.0,66.0,2.0,3.0,,,,,,,66.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6454_output,Passau,RR Bridge,4834N,1327E,47918 611,19.0,4.0,5.0,900.0,8.0,445G,28.0,180.0,2.0,N,1.0,2.0,3.0,0.6,2.0,1.0,,,,,,,0.6,False
