box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4030_output,PERONNE,PITHIVIERS AIRDROME,4811N,215E,43934 780,11.0,5.0,4.0,,8.0,446G,1.0,,,,4.0,6.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5748_output,PERONNE,RAILROAD BRIDGE,4952N,302E,43916 610,15.0,6.0,4.0,710.0,8.0,458A,12.0,210.0,1.0,N,1.0,12.0,4.0,6.0,1.0,1.0,,,,,,,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4028_output,PERONNE,AIRDROME,4952N,302E,4752,25.0,6.0,4.0,1210.0,8.0,492G,12.0,240.0,1.0,N,4.0,517.0,1.0,26.0,1.0,3.0,,,,,,,26.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4028_output,PERONNE,AIRDROME,4952N,302E,4752,2.0,7.0,4.0,2010.0,8.0,487CG,12.0,225.0,3.0,N,1.0,240.0,2.0,30.0,1.0,91.0,,,,,,,30.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4028_output,PERONNE,AIRDROME,4952N,302E,4752,27.0,7.0,4.0,2000.0,8.0,486G,3.0,225.0,3.0,N,1.0,18.0,3.0,5.0,1.0,3.0,,,,,,,5.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4028_output,PERONNE,AIRDROME,4952N,302E,4752,28.0,7.0,4.0,2006.0,8.0,486BG,12.0,225.0,3.0,N,1.0,240.0,2.0,30.0,1.0,3.0,,,,,,,30.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4028_output,PERONNE,AIRDROME,4952N,302E,4752,29.0,7.0,4.0,2007.0,8.0,487AG,12.0,238.0,3.0,N,1.0,240.0,2.0,30.0,1.0,91.0,,,,,,,30.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4029_output,PERONNE,LA PERTHE AIRDROME,4927N,422E,43922,12.0,8.0,4.0,1048.0,8.0,384AG,12.0,209.0,1.0,N,1.0,455.0,3.0,136.5,1.0,3.0,,,,,,,136.5,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4029_output,PERONNE,LA PERTHE AIRDROME,4927N,422E,43922,12.0,8.0,4.0,1050.0,8.0,384BG,12.0,203.0,1.0,N,1.0,144.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4029_output,PERONNE,LA PERTHE AIRDROME,4927N,422E,43922,12.0,8.0,4.0,1050.0,8.0,384G,58.0,205.0,1.0,N,1.0,144.0,3.0,43.2,4.0,3.0,,,,,,,43.2,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4029_output,PERONNE,LA PERTHE AIRDROME,4927N,422E,43922,12.0,8.0,4.0,1058.0,8.0,305G,11.0,194.0,1.0,N,1.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4029_output,PERONNE,LA PERTHE AIRDROME,4927N,422E,43922,12.0,8.0,4.0,1101.0,8.0,305CG,12.0,214.0,1.0,N,1.0,418.0,1.0,21.0,1.0,3.0,,,,,,,21.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5749_output,PERONNE,Planches Bridge,4639N,601E,43940 610,13.0,8.0,4.0,1308.0,8.0,305CG,12.0,217.0,1.0,N,1.0,456.0,1.0,23.0,4.0,3.0,,,,,,,23.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5748_output,PERONNE,RAILROAD BRIDGE,4952N,302E,43916 610,16.0,8.0,4.0,2026.0,8.0,446G,12.0,226.0,1.0,N,1.0,12.0,4.0,6.0,4.0,1.0,,,,,,,6.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4029_output,PERONNE,LA PERTHE AIRDROME,4927N,422E,43922,8.0,8.0,4.0,1058.0,8.0,305AG,11.0,209.0,1.0,N,1.0,131.0,3.0,32.75,1.0,91.0,,,,,,,32.75,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4029_output,PERONNE,LA PERTHE AIRDROME,4927N,422E,43922,8.0,8.0,4.0,1343.0,8.0,392G,24.0,212.0,1.0,N,1.0,288.0,3.0,62.0,1.0,91.0,,,,,,,62.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4029_output,PERONNE,LA PERTHE AIRDROME,4927N,422E,43922,8.0,8.0,4.0,1345.0,8.0,384G,25.0,206.0,1.0,N,1.0,999.0,1.0,49.95,1.0,91.0,,,,,,,49.95,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4029_output,PERONNE,LA PERTHE AIRDROME,4927N,422E,43922,8.0,8.0,4.0,1345.0,8.0,491G,1.0,210.0,1.0,N,1.0,200.0,3.0,72.0,1.0,91.0,,,,,,,72.0,False
