box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0458_output,PETFURDO,OIL REF CENTER,4713N,1808E,12705 501,14.0,6.0,4.0,1103.0,8,485G,35.0,180.0,7,G,1.0,555.0,2.0,69.0,4.0,91.0,,,,,,,69.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0458_output,PETFURDO,OIL REF CENTER,4713N,1808E,12705 501,15.0,6.0,4.0,900.0,8,485S,35.0,180.0,7,G,1.0,300.0,3.0,69.0,4.0,91.0,,,,,,,69.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0458_output,PETFURDO,OIL REF CENTER,4713N,1808E,12705 501,14.0,7.0,4.0,1017.0,8,451G,22.0,195.0,7,C,1.0,132.0,4.0,66.0,4.0,91.0,,,,,,,66.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0458_output,PETFURDO,OIL REF CENTER,4713N,1808E,12705 501,15.0,7.0,4.0,1018.0,8,484G,30.0,200.0,7,G,1.0,150.0,4.0,75.0,4.0,91.0,,,,,,,75.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0458_output,PETFURDO,OIL REF CENTER,4713N,1808E,12705 501,15.0,7.0,4.0,1430.0,8,486G,30.0,195.0,7,G,1.0,141.0,5.0,141.0,4.0,91.0,,,,,,,141.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0458_output,PETFURDO,OIL REF CENTER,4713N,1808E,12705 501,15.0,7.0,4.0,1430.0,8,487G,87.0,190.0,7,G,1.0,75.0,6.0,150.0,4.0,91.0,,,,,,,150.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0459_output,PETFURDO,SCHECAT OIL REFINERY,4715N,1656E,12791 500,16,3.0,5.0,1256.0,8,463G,16.0,278.0,1.0,G,1.0,192.0,3.0,48.0,4.0,2.0,,,,,,,48.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0459_output,PETFURDO,SCHECAT OIL REFINERY,4715N,1656E,12791 500,16,3.0,5.0,1300.0,8,463G,17.0,260.0,1.0,P,1.0,188.0,3.0,47.0,4.0,2.0,,,,,,,47.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0459_output,PETFURDO,SCHECAT OIL REFINERY,4715N,1656E,12791 500,16,3.0,5.0,1430.0,8,463S,18.0,270.0,1.0,G,1.0,5.0,3.0,1.25,4.0,2.0,,,,,,,1.25,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0459_output,PETFURDO,SCHECAT OIL REFINERY,4715N,1656E,12791 500,16,3.0,5.0,1434.0,8,463A,33.0,271.0,1.0,G,1.0,10.0,3.0,2.5,4.0,2.0,,,,,,,2.5,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0459_output,PETFURDO,SCHECAT OIL REFINERY,4715N,1656E,12791 500,16,3.0,5.0,1434.0,8,463G,33.0,271.0,1.0,G,1.0,15.0,3.0,4.5,4.0,2.0,,,,,,,4.5,False
