box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_8_WEAPON,IMG_3507_output,Petit Bois Tillencourt,No Ball,510N,159E,43928 850,13.0,2.0,4.0,1513.0,8.0,44G,10.0,145.0,7.0,N,1.0,119.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_3,BOOK_8_WEAPON,IMG_3507_output,Petit Bois Tillencourt,No Ball,510N,159E,43928 850,14.0,3.0,4.0,1512.0,8.0,44G,23.0,202.0,7.0,G,1.0,311.0,3.0,78.0,4.0,2.0,,,,,,,78.0,False
BOX_3,BOOK_8_WEAPON,IMG_3508_output,Petit Bois Tillencourt,BLANC PIGNON FERME,539N,221E,43931 850,23.0,6.0,4.0,600.0,8.0,93AG,2.0,240.0,2.0,N,1.0,17.0,2.0,2.0,1.0,2.0,,,,,,,2.0,False
BOX_3,BOOK_8_WEAPON,IMG_3508_output,Petit Bois Tillencourt,BLANC PIGNON FERME,539N,221E,43931 850,23.0,6.0,4.0,600.0,8.0,93AG,9.0,240.0,2.0,N,1.0,180.0,2.0,23.0,1.0,2.0,,,,,,,23.0,False
BOX_3,BOOK_8_WEAPON,IMG_3508_output,Petit Bois Tillencourt,BLANC PIGNON FERME,539N,221E,43931 850,2.0,7.0,4.0,800.0,8.0,93AG,2.0,240.0,2.0,N,1.0,38.0,1.0,2.0,1.0,3.0,,,,,,,2.0,False
BOX_3,BOOK_8_WEAPON,IMG_3508_output,Petit Bois Tillencourt,BLANC PIGNON FERME,539N,221E,43931 850,2.0,7.0,4.0,800.0,8.0,93AG,5.0,240.0,2.0,N,1.0,14.0,2.0,2.0,1.0,2.0,,,,,,,2.0,False
BOX_3,BOOK_8_WEAPON,IMG_3508_output,Petit Bois Tillencourt,BLANC PIGNON FERME,539N,221E,43931 850,2.0,7.0,4.0,800.0,8.0,93AG,15.0,244.0,3.0,N,1.0,420.0,2.0,53.0,1.0,2.0,,,,,,,53.0,False
BOX_3,BOOK_8_WEAPON,IMG_3508_output,Petit Bois Tillencourt,BLANC PIGNON FERME,539N,221E,43931 850,6.0,7.0,4.0,1000.0,8.0,93AG,20.0,242.0,2.0,N,1.0,215.0,2.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_3,BOOK_8_WEAPON,IMG_3508_output,Petit Bois Tillencourt,BLANC PIGNON FERME,539N,221E,43931 850,6.0,7.0,4.0,1000.0,8.0,93G,25.0,245.0,2.0,N,1.0,161.0,2.0,20.0,1.0,3.0,,,,,,,20.0,False
BOX_3,BOOK_8_WEAPON,IMG_3508_output,Petit Bois Tillencourt,BLANC PIGNON FERME,539N,221E,43931 850,6.0,7.0,4.0,1000.0,8.0,93G,24.0,250.0,1.0,N,1.0,400.0,2.0,50.0,4.0,3.0,,,,,,,50.0,False
BOX_3,BOOK_8_WEAPON,IMG_3508_output,Petit Bois Tillencourt,BLANC PIGNON FERME,539N,221E,43931 850,6.0,7.0,4.0,1000.0,8.0,93G,22.0,255.0,1.0,N,1.0,198.0,2.0,25.0,4.0,3.0,,,,,,,25.0,False
