box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_4_CHEMICAL,IMG_0891_output,Plauen,Chemical Works,5229N,1207E,47906,6.0,2.0,5.0,1400.0,8,305A,10.0,240.0,4.0,N,3.0,,,,,,21.0,5.0,1.05,,,,1.05,False
BOX_1,BOOK_4_CHEMICAL,IMG_0891_output,Plauen,Chemical Works,5229N,1207E,47906,15.0,3.0,5.0,600.0,8,381G,10.0,240.0,4.0,N,3.0,178.0,5.0,178.0,4.0,6.0,,,,,,,178.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0891_output,Plauen,Chemical Works,5229N,1207E,47906,6.0,3.0,5.0,1048.0,8,381G,10.0,240.0,4.0,N,3.0,178.0,2.0,22.0,4.0,3.0,20.0,5.0,1.0,,,,23.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0891_output,Plauen,Chemical Works,5229N,1207E,47906,8.0,3.0,5.0,1200.0,8,381G,10.0,240.0,4.0,N,3.0,178.0,2.0,22.0,4.0,4.0,19.0,5.0,1.0,,,,23.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0891_output,Plauen,Chemical Works,5229N,1207E,47906,9.0,3.0,5.0,1600.0,8,381A,10.0,240.0,4.0,N,3.0,178.0,2.0,22.0,4.0,5.0,18.0,5.0,1.0,,,,23.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0379_output,Plauen,VOMAG Plant,,948G,99256,,3.0,5.0,1212.0,,948G,29.0,150.0,,N,,,,,,,68.0,11.0,15.0,,,,15.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2263_output,Plauen,Town Area,,,47906 20,03-04,4.0,5.0,600.0,R,,8.0,230.0,,,,32.0,3.0,8.0,,3.0,,,,,,,8.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2263_output,Plauen,Town Area,,,47906 20,04-05,4.0,5.0,1200.0,R,,8.0,200.0,,,,1.0,3.0,0.3,,3.0,,,,,,,0.3,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2263_output,Plauen,Town Area,,,47906 20,09-10,4.0,5.0,2223.0,R,,36.0,180.0,,,,2.4,6.0,4.8,,3.0,,,,,,,4.8,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2263_output,Plauen,Town Area,,,47906 20,09-10,4.0,5.0,2223.0,R,,36.0,180.0,,,,29.0,3.0,7.25,,3.0,,,,,,,7.25,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2263_output,Plauen,Town Area,,,47906 20,10,4.0,5.0,1430.0,R,,50.0,180.0,,,,49.0,4.0,33.0,,3.0,,,,,,,33.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2263_output,Plauen,Town Area,,,47906 20,10,4.0,5.0,1430.0,R,,52.0,180.0,,,,51.0,4.0,28.05,,3.0,,,,,,,28.05,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2263_output,Plauen,Town Area,,,47906 20,10,4.0,5.0,1430.0,R,,53.0,180.0,,,,52.0,4.0,28.6,,3.0,,,,,,,28.6,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2263_output,Plauen,Town Area,,,47906 20,10,4.0,5.0,1434.0,R,,51.0,180.0,,,,50.0,4.0,27.5,,3.0,,,,,,,27.5,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2263_output,Plauen,Town Area,,,47906 20,10-11,4.0,5.0,930.0,R,,1.0,180.0,,,,2.0,4.0,1.0,,3.0,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2263_output,Plauen,Town Area,,,47906 20,10-11,4.0,5.0,1430.0,R,,3.0,190.0,,,,10.0,4.0,5.0,,3.0,100.0,2.0,0.2,,,,5.2,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2263_output,Plauen,Town Area,,,47906 20,10-11,4.0,5.0,1434.0,R,,2.0,180.0,,,,46.0,3.0,12.0,,3.0,,,,,,,12.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0379_output,Plauen,VOMAG Plant,,948G,99256,,4.0,5.0,1217.0,,949G,37.0,150.0,,N,,370.0,1.0,7.0,,,68.0,6.0,17.0,,,,24.0,False
BOX_1,BOOK_1_MILITARYINDUSTRY,IMG_0379_output,Plauen,VOMAG Plant,,948G,99256,,5.0,5.0,600.0,,950G,66.0,150.0,,N,,371.0,3.0,144.0,,,68.0,33.0,42.0,,,,186.0,False
