box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5287_output,PLOESTI,TARARANI MY,4455N,2602E,18655 631,15.0,4.0,4.0,1230.0,15.0,301G,36.0,250.0,3.0,P,1.0,432.0,3.0,108.0,4.0,3.0,,,,,,,108.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5287_output,PLOESTI,TARARANI MY,4455N,2602E,18655 631,15.0,4.0,4.0,1235.0,15.0,452G,31.0,220.0,3.0,P,1.0,372.0,3.0,93.0,4.0,3.0,,,,,,,93.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5287_output,PLOESTI,TARARANI MY,4455N,2602E,18655 631,15.0,4.0,4.0,1240.0,15.0,99G,34.0,232.0,3.0,P,1.0,1180.0,1.0,59.0,4.0,3.0,,,,,,,59.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0491_output,PLOESTI,ASTRA ROMANA,4455N,2602E,18655 501,24.0,4.0,4.0,1153.0,8.0,97G,24.0,242.0,7.0,C,1.0,288.0,3.0,72.0,4.0,3.0,,,,,,,72.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0491_output,PLOESTI,ASTRA ROMANA,4455N,2602E,18655 501,24.0,4.0,4.0,1221.0,8.0,98G,36.0,217.0,7.0,G,1.0,350.0,3.0,88.0,4.0,3.0,,,,,,,88.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5287_output,PLOESTI,TARARANI MY,4455N,2602E,18655 631,5.0,4.0,4.0,1430.0,15.0,098G,31.0,230.0,7.0,G,1.0,356.0,3.0,89.0,4.0,91.0,,,,,,,89.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5287_output,PLOESTI,TARARANI MY,4455N,2602E,18655 631,5.0,4.0,4.0,1430.0,15.0,449G,22.0,236.0,7.0,G,1.0,,,,,,700.0,5.0,35.0,,,,35.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5287_output,PLOESTI,TARARANI MY,4455N,2602E,18655 631,5.0,4.0,4.0,1430.0,15.0,450G,33.0,210.0,1.0,G,1.0,336.0,3.0,84.0,4.0,3.0,,,,,,,84.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5287_output,PLOESTI,TARARANI MY,4455N,2602E,18655 631,5.0,4.0,4.0,1515.0,15.0,99G,32.0,238.0,7.0,G,1.0,366.0,3.0,92.0,4.0,91.0,,,,,,,92.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5287_output,PLOESTI,TARARANI MY,4455N,2602E,18655 631,5.0,4.0,4.0,1515.0,15.0,301G,22.0,216.0,7.0,G,1.0,264.0,3.0,66.0,4.0,91.0,,,,,,,66.0,False
