box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3242_output,Pointe de Grave,HISPANO SUIZZA AERO WORK,4535N,105W,43955 120,14.0,4.0,5.0,1000.0,8.0,452BG,1.0,200.0,1.0,N,2.0,,,,,,,,,38.0,7.0,2.28,2.28,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3242_output,Pointe de Grave,HISPANO SUIZZA AERO WORK,4535N,105W,43955 120,14.0,4.0,5.0,1029.0,8.0,447G,18.0,225.0,1.0,N,1.0,,,,,,,,,682.0,7.0,40.0,40.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3242_output,Pointe de Grave,HISPANO SUIZZA AERO WORK,4535N,105W,43955 120,14.0,4.0,5.0,1029.0,8.0,458G,30.0,150.0,1.0,N,1.0,80.0,5.0,80.0,4.0,3.0,,,,,,,80.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3242_output,Pointe de Grave,HISPANO SUIZZA AERO WORK,4535N,105W,43955 120,14.0,4.0,5.0,1052.0,8.0,493BG,10.0,190.0,1.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3242_output,Pointe de Grave,HISPANO SUIZZA AERO WORK,4535N,105W,43955 120,14.0,4.0,5.0,1054.0,8.0,469G,38.0,200.0,1.0,N,1.0,150.0,4.0,75.0,4.0,3.0,,,,,,,75.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3242_output,Pointe de Grave,HISPANO SUIZZA AERO WORK,4535N,105W,43955 120,14.0,4.0,5.0,1100.0,8.0,470G,36.0,150.0,1.0,N,1.0,8.0,4.0,4.0,4.0,3.0,,,,,,,4.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3242_output,Pointe de Grave,HISPANO SUIZZA AERO WORK,4535N,105W,43955 120,14.0,4.0,5.0,1117.0,8.0,467G,34.0,150.0,1.0,N,1.0,2.0,4.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3242_output,Pointe de Grave,HISPANO SUIZZA AERO WORK,4535N,105W,43955 120,15.0,4.0,5.0,1010.0,8.0,468G,36.0,220.0,1.0,N,1.0,,,,,,,,,999.0,7.0,80.0,80.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3242_output,Pointe de Grave,HISPANO SUIZZA AERO WORK,4535N,105W,43955 120,15.0,4.0,5.0,1029.0,8.0,458G,26.0,150.0,1.0,N,1.0,12.0,4.0,6.0,4.0,3.0,,,,,,,6.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3242_output,Pointe de Grave,HISPANO SUIZZA AERO WORK,4535N,105W,43955 120,15.0,4.0,5.0,1029.0,8.0,467G,24.0,158.0,1.0,N,1.0,72.0,5.0,72.0,4.0,3.0,,,,,,,72.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3242_output,Pointe de Grave,HISPANO SUIZZA AERO WORK,4535N,105W,43955 120,15.0,4.0,5.0,1054.0,8.0,490G,38.0,200.0,1.0,N,1.0,148.0,3.0,37.0,4.0,3.0,,,,,,,37.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3242_output,Pointe de Grave,HISPANO SUIZZA AERO WORK,4535N,105W,43955 120,15.0,4.0,5.0,1117.0,8.0,466G,26.0,130.0,1.0,N,1.0,12.0,4.0,6.0,4.0,3.0,,,,,,,6.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3242_output,Pointe de Grave,HISPANO SUIZZA AERO WORK,4535N,105W,43955 120,15.0,4.0,5.0,1117.0,8.0,466G,32.0,130.0,1.0,N,1.0,81.0,5.0,81.0,4.0,3.0,,,,,,,81.0,False
