box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_14_SUPPLY,IMG_7186_output,Pola,Ammo Depot,4452N,1351E,41329,21.0,2.0,0.0,,15.0,483G,1.0,,1.0,,1.0,320.0,3.0,80.0,4.0,91.0,,,,,,,80.0,False
BOX_7,BOOK_17_NAVAL,IMG_7928_output,Pola,Docks,4452 N,1351 E,41329 712,10.0,1.0,4.0,1135.0,15.0,301G,27.0,179.0,7.0,P,2.0,318.0,3.0,80.0,4.0,3.0,,,,,,,80.0,False
BOX_7,BOOK_17_NAVAL,IMG_7928_output,Pola,Docks,4452 N,1351 E,41329 712,11.0,1.0,4.0,600.0,15.0,302G,53.0,180.0,7.0,C,3.0,315.0,3.0,78.75,4.0,3.0,,,,,,,78.75,False
BOX_7,BOOK_17_NAVAL,IMG_7927_output,Pola,Harbor,4452N,1351E,41329 711,9.0,1.0,4.0,1118.0,8.0,99G,28.0,145.0,7.0,G,1.0,336.0,3.0,84.0,4.0,3.0,,,,,,,84.0,False
BOX_7,BOOK_17_NAVAL,IMG_7928_output,Pola,Docks,4452 N,1351 E,41329 712,9.0,1.0,4.0,1120.0,15.0,97G,26.0,168.0,7.0,G,1.0,312.0,3.0,78.0,4.0,3.0,,,,,,,78.0,False
BOX_7,BOOK_17_NAVAL,IMG_7926_output,Pola,Harbor Installations,4452N,1351E,41329 710,9.0,1.0,4.0,1127.0,15.0,2G,26.0,169.0,7.0,G,1.0,312.0,3.0,78.0,4.0,3.0,,,,,,,78.0,False
BOX_7,BOOK_17_NAVAL,IMG_7927_output,Pola,Harbor,4452N,1351E,41329 711,25.0,2.0,4.0,1142.0,8.0,101G,28.0,205.0,7.0,G,1.0,108.0,3.0,27.0,4.0,3.0,,,,,,,27.0,False
BOX_7,BOOK_17_NAVAL,IMG_7927_output,Pola,Harbor,4452N,1351E,41329 711,25.0,3.0,4.0,1111.0,8.0,102G,28.0,229.0,7.0,G,1.0,228.0,3.0,57.0,4.0,3.0,,,,,,,57.0,False
BOX_7,BOOK_17_NAVAL,IMG_7927_output,Pola,Harbor,4452N,1351E,41329 711,22.0,6.0,4.0,1210.0,8.0,104G,38.0,200.0,7.0,P,1.0,646.0,2.0,81.0,4.0,91.0,,,,,,,81.0,False
BOX_7,BOOK_17_NAVAL,IMG_7926_output,Pola,Harbor Installations,4452N,1351E,41329 710,21.0,7.0,4.0,1437.0,15.0,002G,1.0,210.0,7.0,N,3.0,20.0,2.0,3.0,4.0,91.0,,,,,,,3.0,False
