box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_2_OILREFINERIES,IMG_0513_output,PORTO MARGHERA,OIL STORAGE,4526N,1220E,41354 530,19.0,5.0,4.0,957.0,8.0,310G,26.0,220.0,1.0,G,1.0,312.0,3.0,78.0,4.0,2.0,1.0,5.0,0.05,,,,78.05,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0513_output,PORTO MARGHERA,OIL STORAGE,4526N,1220E,41354 530,25.0,5.0,4.0,1240.0,8.0,313G,31.0,190.0,7.0,G,1.0,304.0,3.0,76.0,4.0,2.0,,,,,,,76.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0513_output,PORTO MARGHERA,OIL STORAGE,4526N,1220E,41354 530,25.0,5.0,4.0,1245.0,8.0,312G,38.0,215.0,7.0,G,1.0,379.0,3.0,94.75,4.0,91.0,,,,,,,94.75,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0513_output,PORTO MARGHERA,OIL STORAGE,4526N,1220E,41354 530,10.0,6.0,4.0,929.0,8.0,318G,72.0,185.0,7.0,G,1.0,396.0,3.0,99.0,4.0,91.0,,,,,,,99.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0513_output,PORTO MARGHERA,OIL STORAGE,4526N,1220E,41354 530,10.0,6.0,4.0,931.0,8.0,319G,37.0,210.0,7.0,G,1.0,333.0,3.0,83.0,4.0,91.0,,,,,,,83.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0513_output,PORTO MARGHERA,OIL STORAGE,4526N,1220E,41354 530,10.0,6.0,4.0,936.0,8.0,320G,37.0,200.0,7.0,G,1.0,333.0,3.0,83.0,4.0,91.0,,,,,,,83.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0513_output,PORTO MARGHERA,OIL STORAGE,4526N,1220E,41354 530,13.0,6.0,4.0,1014.0,8.0,322G,19.0,225.0,7.0,G,2.0,171.0,1.0,7.0,4.0,91.0,,,,,,,7.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0513_output,PORTO MARGHERA,OIL STORAGE,4526N,1220E,41354 530,26.0,6.0,4.0,1033.0,8.0,315G,35.0,224.0,7.0,G,2.0,336.0,3.0,84.0,4.0,91.0,,,,,,,84.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0513_output,PORTO MARGHERA,OIL STORAGE,4526N,1220E,41354 530,26.0,6.0,4.0,1115.0,8.0,316G,36.0,195.0,7.0,G,2.0,,,,,,999.0,5.0,49.0,,,,49.0,False
BOX_1,BOOK_2_OILREFINERIES,IMG_0513_output,PORTO MARGHERA,OIL STORAGE,4526N,1220E,41354 530,13.0,7.0,4.0,1031.0,8.0,331G,28.0,215.0,7.0,C,1.0,240.0,3.0,60.0,4.0,91.0,,,,,,,60.0,False
