box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,20.0,2.0,4.0,1405.0,8.0,388G,34.0,180.0,3.0,P,1.0,370.0,3.0,93.0,4.0,2.0,,,,,,,93.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,24.0,2.0,4.0,1457.0,8.0,388G,34.0,160.0,3.0,P,1.0,200.0,3.0,50.0,4.0,2.0,168.0,7.0,6.0,,,,56.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,1.0,4.0,4.0,1313.0,8.0,388G,3.0,150.0,3.0,P,1.0,30.0,3.0,8.0,4.0,2.0,500.0,5.0,25.0,,,,33.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,1.0,4.0,4.0,1313.0,8.0,96G,17.0,150.0,1.0,N,1.0,28.0,3.0,7.0,4.0,2.0,,,,,,,7.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,2.0,4.0,4.0,1315.0,8.0,452G,12.0,150.0,1.0,N,1.0,,,,,,500.0,7.0,17.0,,,,17.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,29.0,4.0,4.0,1314.0,8.0,381G,1.0,150.0,3.0,P,3.0,10.0,3.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,3.0,4.0,4.0,1310.0,8.0,400G,13.0,150.0,1.0,C,1.0,180.0,3.0,54.0,4.0,2.0,500.0,7.0,17.0,,,,71.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,29.0,5.0,4.0,1309.0,8.0,91G,18.0,233.0,1.0,N,1.0,28.0,3.0,7.0,4.0,2.0,,,,,,,7.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,29.0,5.0,4.0,1309.0,8.0,381G,19.0,225.0,1.0,N,1.0,40.0,3.0,10.0,4.0,2.0,,,,,,,10.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,29.0,5.0,4.0,1347.0,8.0,398G,21.0,240.0,1.0,N,1.0,190.0,3.0,47.5,4.0,2.0,841.0,7.0,29.0,,,,76.5,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,10.0,6.0,4.0,1800.0,8.0,409G,20.0,250.0,1.0,N,1.0,40.0,3.0,10.0,4.0,2.0,,,,,,,10.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,2.0,6.0,4.0,1430.0,8.0,401G,20.0,250.0,3.0,N,1.0,205.0,3.0,61.5,4.0,2.0,,,,,,,61.5,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,3.0,6.0,4.0,1500.0,8.0,402S,20.0,260.0,1.0,N,1.0,210.0,1.0,10.0,4.0,2.0,500.0,26.0,5.0,,,,15.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3210_output,Posen,Focke Wulf A C Plant,5225N,1658E,17705,9.0,6.0,4.0,1730.0,8.0,408S,20.0,260.0,1.0,N,1.0,400.0,3.0,100.0,4.0,2.0,,,,,,,100.0,False
