box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3369_output,Potsdam Germendorf,Component Plant,5224N,1304E,47908 150,18.0,4.0,4.0,800.0,8.0,305AG,6.0,242.0,1.0,N,1.0,72.0,1.0,4.0,4.0,3.0,162.0,7.0,6.0,,,,10.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3369_output,Potsdam Germendorf,Component Plant,5224N,1304E,47908 150,18.0,4.0,4.0,1200.0,8.0,323G,100.0,240.0,1.0,N,1.0,300.0,3.0,100.0,4.0,3.0,,,,,,,100.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3369_output,Potsdam Germendorf,Component Plant,5224N,1304E,47908 150,18.0,4.0,4.0,1430.0,8.0,318G,106.0,240.0,1.0,N,1.0,300.0,1.0,15.0,4.0,3.0,892.0,5.0,44.6,,,,59.6,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3369_output,Potsdam Germendorf,Component Plant,5224N,1304E,47908 150,18.0,4.0,4.0,1430.0,8.0,319G,129.0,240.0,1.0,N,1.0,300.0,1.0,15.0,4.0,3.0,119.0,34.0,146.0,,,,161.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3369_output,Potsdam Germendorf,Component Plant,5224N,1304E,47908 150,18.0,4.0,4.0,1430.0,8.0,320G,100.0,240.0,1.0,N,1.0,250.0,1.0,12.5,4.0,3.0,,,,,,,12.5,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3369_output,Potsdam Germendorf,Component Plant,5224N,1304E,47908 150,18.0,4.0,4.0,1430.0,8.0,324G,100.0,240.0,1.0,N,1.0,300.0,1.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3369_output,Potsdam Germendorf,Component Plant,5224N,1304E,47908 150,18.0,4.0,4.0,1440.0,8.0,384G,22.0,260.0,1.0,N,1.0,,,,,,892.0,7.0,31.0,,,,31.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3369_output,Potsdam Germendorf,Component Plant,5224N,1304E,47908 150,18.0,4.0,4.0,1443.0,8.0,381G,28.0,240.0,1.0,N,1.0,980.0,1.0,49.0,4.0,3.0,,,,,,,49.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3369_output,Potsdam Germendorf,Component Plant,5224N,1304E,47908 150,18.0,4.0,4.0,1445.0,8.0,303G,32.0,237.0,1.0,N,1.0,,,,,,892.0,5.0,44.0,,,,44.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3369_output,Potsdam Germendorf,Component Plant,5224N,1304E,47908 150,18.0,4.0,4.0,1446.0,8.0,351G,15.0,240.0,1.0,N,1.0,,,,,,577.0,7.0,20.0,,,,20.0,False
