box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5457_output,PRATO,MARSHALLING YARDS,4353N,1107E,41360 630,15.0,1.0,4.0,1230.0,15.0,450G,12.0,210.0,7.0,G,1.0,144.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5457_output,PRATO,MARSHALLING YARDS,4353N,1107E,41360 630,15.0,1.0,4.0,1231.0,15.0,449G,26.0,210.0,7.0,G,1.0,230.0,3.0,58.0,4.0,3.0,,,,,,,58.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5457_output,PRATO,MARSHALLING YARDS,4353N,1107E,41360 630,17.0,1.0,4.0,1230.0,15.0,453G,31.0,227.0,7.0,G,1.0,336.0,3.0,84.0,4.0,3.0,,,,,,,84.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5457_output,PRATO,MARSHALLING YARDS,4353N,1107E,41360 630,17.0,1.0,4.0,1239.0,15.0,452G,34.0,216.0,7.0,C,1.0,408.0,3.0,102.0,4.0,3.0,,,,,,,102.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5457_output,PRATO,MARSHALLING YARDS,4353N,1107E,41360 630,21.0,1.0,4.0,1241.0,15.0,455G,18.0,200.0,7.0,P,1.0,129.0,3.0,32.0,4.0,3.0,,,,,,,32.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5457_output,PRATO,MARSHALLING YARDS,4353N,1107E,41360 630,14.0,2.0,4.0,1400.0,15.0,459G,11.0,210.0,7.0,P,1.0,110.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5457_output,PRATO,MARSHALLING YARDS,4353N,1107E,41360 630,16.0,2.0,4.0,1216.0,15.0,461G,33.0,175.0,7.0,C,1.0,294.0,3.0,73.5,4.0,3.0,,,,,,,73.5,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5457_output,PRATO,MARSHALLING YARDS,4353N,1107E,41360 630,8.0,2.0,4.0,1127.0,15.0,457G,33.0,220.0,7.0,P,1.0,330.0,3.0,83.0,4.0,3.0,,,,,,,83.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5457_output,PRATO,MARSHALLING YARDS,4353N,1107E,41360 630,11.0,3.0,4.0,1156.0,15.0,459G,33.0,200.0,7.0,G,1.0,100.0,3.0,25.0,4.0,3.0,,,,,,,25.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5457_output,PRATO,MARSHALLING YARDS,4353N,1107E,41360 630,11.0,3.0,4.0,1220.0,15.0,463G,32.0,180.0,1.0,G,1.0,305.0,3.0,76.0,4.0,3.0,,,,,,,76.0,False
