box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6452_output,PRUM,MARSHALLING YARD,512N,625E,47912 630,23-24,5.0,0.0,,R,305G,11.0,,,C,3.0,41.0,2.0,5.0,4.0,2.0,240.0,2.0,0.48,,,,5.48,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6451_output,PRUM,COMM CENTER,512N,625E,47912 600,2.0,1.0,4.0,1300.0,8.0,91AG,2.0,237.0,5.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6451_output,PRUM,COMM CENTER,512N,625E,47912 600,2.0,1.0,4.0,1400.0,8.0,91BG,10.0,230.0,5.0,N,1.0,139.0,3.0,35.0,4.0,3.0,,,,,,,35.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6451_output,PRUM,COMM CENTER,512N,625E,47912 600,2.0,1.0,4.0,1400.0,8.0,91CG,12.0,242.0,5.0,N,1.0,102.0,3.0,26.0,4.0,3.0,,,,,,,26.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6451_output,PRUM,COMM CENTER,512N,625E,47912 600,2.0,1.0,4.0,1500.0,8.0,303G,10.0,235.0,5.0,N,1.0,24.0,3.0,6.0,4.0,3.0,,,,,,,6.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6451_output,PRUM,COMM CENTER,512N,625E,47912 600,1.0,2.0,4.0,800.0,8.0,467AG,4.0,215.0,1.0,N,1.0,34.0,2.0,4.0,1.0,3.0,,,,,,,4.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6451_output,PRUM,COMM CENTER,512N,625E,47912 600,1.0,2.0,4.0,1000.0,8.0,91G,1.0,225.0,1.0,N,3.0,18.0,2.0,2.0,4.0,3.0,2.0,6.0,0.5,,,,2.5,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6451_output,PRUM,COMM CENTER,512N,625E,47912 600,1.0,2.0,4.0,1100.0,8.0,384G,3.0,230.0,1.0,N,1.0,16.0,2.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6451_output,PRUM,COMM CENTER,512N,625E,47912 600,12.0,4.0,4.0,800.0,8.0,445CG,11.0,220.0,1.0,N,3.0,62.0,3.0,16.0,4.0,2.0,60.0,6.0,15.0,,,,31.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_3,IMG_6451_output,PRUM,COMM CENTER,512N,625E,47912 600,12.0,4.0,4.0,800.0,8.0,445CG,6.0,215.0,1.0,N,3.0,,,,,,1.0,7.0,0.042,,,,0.042,False
