box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2287_output,Recklinghausen,UNIDENTIFIED TARGET,5136N,711E,48079 20,24,5.0,0.0,800.0,R,,1.0,150.0,,,,4.0,3.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2287_output,Recklinghausen,UNIDENTIFIED TARGET,5136N,711E,48079 20,24-25,5.0,0.0,800.0,R,,1.0,150.0,,,,6.666666666666667,2.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2287_output,Recklinghausen,UNIDENTIFIED TARGET,5136N,711E,48079 20,12-13,6.0,1.0,600.0,R,,2.0,150.0,,,,1.0,5.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2287_output,Recklinghausen,UNIDENTIFIED TARGET,5136N,711E,48079 20,12-13,6.0,1.0,1430.0,R,,1.0,150.0,,,,1.0,5.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2287_output,Recklinghausen,UNIDENTIFIED TARGET,5136N,711E,48079 20,12-13,6.0,1.0,1430.0,R,,2.0,150.0,,,,2.0,4.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2287_output,Recklinghausen,UNIDENTIFIED TARGET,5136N,711E,48079 20,12-13,6.0,1.0,1430.0,R,,2.0,150.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2287_output,Recklinghausen,UNIDENTIFIED TARGET,5136N,711E,48079 20,12-13,6.0,1.0,1430.0,R,,2.0,150.0,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2287_output,Recklinghausen,UNIDENTIFIED TARGET,5136N,711E,48079 20,07,8.0,1.0,800.0,R,,2.0,150.0,,,,2.0,2.0,0.3,,,,,,,,,0.3,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2287_output,Recklinghausen,UNIDENTIFIED TARGET,5136N,711E,48079 20,07-08,8.0,1.0,930.0,R,,2.0,150.0,,,,5.0,3.0,1.25,,,,,,,,,1.25,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2287_output,Recklinghausen,UNIDENTIFIED TARGET,5136N,711E,48079 20,07-08,8.0,1.0,1400.0,R,,2.0,150.0,,,,3.0,4.0,2.0,,,,,,,,,2.0,False
