box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3217_output,REGGIO EMILIA,NANET AC FACTORY,4442N,1039E,41474 110,10.0,1.0,4.0,1338.0,15.0,2G,32.0,217.0,7.0,G,1.0,384.0,3.0,96.0,4.0,3.0,,,,,,,96.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3217_output,REGGIO EMILIA,NANET AC FACTORY,4442N,1039E,41474 110,8.0,1.0,4.0,1335.0,15.0,97G,22.0,232.0,7.0,G,1.0,252.0,3.0,63.0,4.0,3.0,,,,,,,63.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3217_output,REGGIO EMILIA,NANET AC FACTORY,4442N,1039E,41474 110,8.0,1.0,4.0,1338.0,15.0,99G,29.0,250.0,7.0,G,1.0,336.0,3.0,84.0,4.0,3.0,,,,,,,84.0,False
BOX_3,BOOK_7_AIRCRAFTPRODUCTION,IMG_3217_output,REGGIO EMILIA,NANET AC FACTORY,4442N,1039E,41474 110,9.0,1.0,4.0,1333.0,15.0,301G,27.0,210.0,7.0,G,1.0,324.0,3.0,81.0,4.0,3.0,,,,,,,81.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3850_output,REGGIO EMILIA,AIRDROME,4442N,1039E,41474 780,30.0,4.0,4.0,1230.0,15.0,002G,35.0,217.0,7.0,G,1.0,,,,,,,,,5100.0,2.0,51.0,51.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3850_output,REGGIO EMILIA,AIRDROME,4442N,1039E,41474 780,30.0,4.0,4.0,1230.0,15.0,097G,36.0,225.0,7.0,G,1.0,,,,,,,,,5100.0,2.0,51.0,51.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3850_output,REGGIO EMILIA,AIRDROME,4442N,1039E,41474 780,31.0,4.0,4.0,1250.0,15.0,098G,37.0,200.0,7.0,G,1.0,,,,,,,,,999.0,2.0,9.99,9.99,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3850_output,REGGIO EMILIA,AIRDROME,4442N,1039E,41474 780,4.0,5.0,4.0,1250.0,15.0,459G,38.0,190.0,1.0,C,1.0,,,,,,,,,5000.0,2.0,50.0,50.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3850_output,REGGIO EMILIA,AIRDROME,4442N,1039E,41474 780,5.0,5.0,4.0,1300.0,15.0,460G,39.0,202.0,7.0,C,1.0,,,,,,,,,999.0,2.0,9.99,9.99,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_3850_output,REGGIO EMILIA,AIRDROME,4442N,1039E,41474 780,7.0,5.0,4.0,1320.0,15.0,462G,40.0,200.0,7.0,C,1.0,,,,,,,,,999.0,8.0,220.0,220.0,False
