box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_8_WEAPON,IMG_3513_output,RENESCURE,UNIDENTIFIED,544N,222E,44120 850,16,6.0,4.0,930.0,8.0,93AG,4.0,200.0,3.0,N,1.0,40.0,3.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_3,BOOK_8_WEAPON,IMG_3513_output,RENESCURE,UNIDENTIFIED,544N,222E,44120 850,16,6.0,4.0,930.0,8.0,446G,6.0,200.0,3.0,N,1.0,60.0,3.0,15.0,4.0,3.0,,,,,,,15.0,False
BOX_3,BOOK_8_WEAPON,IMG_3513_output,RENESCURE,UNIDENTIFIED,544N,222E,44120 850,16,6.0,4.0,1656.0,8.0,448G,30.0,200.0,3.0,N,1.0,300.0,3.0,75.0,4.0,3.0,,,,,,,75.0,False
BOX_3,BOOK_8_WEAPON,IMG_3513_output,RENESCURE,UNIDENTIFIED,544N,222E,44120 850,16-17,6.0,4.0,52.0,8.0,447G,66.0,200.0,3.0,N,1.0,1176.0,3.0,294.0,4.0,3.0,,,,,,,294.0,False
BOX_3,BOOK_8_WEAPON,IMG_3513_output,RENESCURE,UNIDENTIFIED,544N,222E,44120 850,22,6.0,4.0,1133.0,8.0,392G,50.0,250.0,3.0,N,1.0,132.0,3.0,33.0,4.0,2.0,,,,,,,33.0,False
BOX_3,BOOK_8_WEAPON,IMG_3513_output,RENESCURE,UNIDENTIFIED,544N,222E,44120 850,22,6.0,4.0,1133.0,8.0,384AG,21.0,200.0,3.0,N,1.0,11.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_8_WEAPON,IMG_3514_output,RENESCURE,SANGATTE,5056N,0144E,44232850,4.0,6.0,4.0,910.0,8.0,448G,23.0,195.0,2.0,N,1.0,423.3333333333333,3.0,127.0,4.0,3.0,,,,,,,127.0,False
BOX_3,BOOK_8_WEAPON,IMG_3514_output,RENESCURE,SANGATTE,5056N,0144E,44232850,4.0,6.0,4.0,1449.0,8.0,390G,22.0,196.0,3.0,N,1.0,252.0,3.0,63.0,4.0,3.0,,,,,,,63.0,False
BOX_3,BOOK_8_WEAPON,IMG_3514_output,RENESCURE,SANGATTE,5056N,0144E,44232850,4.0,6.0,4.0,1502.0,8.0,93G,20.0,205.0,3.0,N,1.0,240.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_3,BOOK_8_WEAPON,IMG_3514_output,RENESCURE,SANGATTE,5056N,0144E,44232850,5.0,6.0,4.0,915.0,8.0,389G,24.0,215.0,1.0,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_8_WEAPON,IMG_3514_output,RENESCURE,SANGATTE,5056N,0144E,44232850,5.0,6.0,4.0,919.0,8.0,448A,25.0,210.0,2.0,N,1.0,264.0,3.0,66.0,4.0,3.0,,,,,,,66.0,False
BOX_3,BOOK_8_WEAPON,IMG_3514_output,RENESCURE,SANGATTE,5056N,0144E,44232850,5.0,6.0,4.0,1449.0,8.0,389G,21.0,200.0,2.0,N,1.0,16.0,3.0,4.0,4.0,2.0,,,,,,,4.0,False
BOX_3,BOOK_8_WEAPON,IMG_3513_output,RENESCURE,UNIDENTIFIED,544N,222E,44120 850,02,7.0,4.0,1235.0,8.0,389G,11.0,240.0,3.0,N,1.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_3,BOOK_8_WEAPON,IMG_3513_output,RENESCURE,UNIDENTIFIED,544N,222E,44120 850,02,7.0,4.0,1235.0,8.0,453G,11.0,250.0,3.0,N,1.0,96.0,3.0,24.0,1.0,2.0,,,,,,,24.0,False
BOX_3,BOOK_8_WEAPON,IMG_3513_output,RENESCURE,UNIDENTIFIED,544N,222E,44120 850,02,7.0,4.0,1300.0,8.0,93AG,2.0,200.0,3.0,N,1.0,76.0,1.0,4.0,1.0,3.0,,,,,,,4.0,False
BOX_3,BOOK_8_WEAPON,IMG_3513_output,RENESCURE,UNIDENTIFIED,544N,222E,44120 850,04,7.0,4.0,1400.0,8.0,401G,11.0,256.0,1.0,N,1.0,173.0,2.0,22.0,4.0,3.0,,,,,,,22.0,False
BOX_3,BOOK_8_WEAPON,IMG_3513_output,RENESCURE,UNIDENTIFIED,544N,222E,44120 850,06,7.0,4.0,1500.0,8.0,457G,11.0,258.0,1.0,N,1.0,198.0,2.0,25.0,4.0,3.0,,,,,,,25.0,False
