box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_3_EXPLOSIVES,IMG_0821_output,RENNES,ARSENAL,4412N,5230E,,16,11.0,0.0,,R,305A,1.0,,,,,4.0,10.0,3.0,,,,,,,,,3.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0821_output,RENNES,ARSENAL,4412N,5230E,,17,11.0,0.0,,R,305A,1.0,,,,,4.0,10.0,3.0,,,,,,,,,3.0,False
BOX_1,BOOK_3_EXPLOSIVES,IMG_0821_output,RENNES,ARSENAL,4412N,5230E,,18,11.0,1.0,,R,305C,1.0,,,,,4.0,10.0,3.0,,,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,2.0,3.0,1430.0,R,305G,1.0,217.0,7.0,G,1.0,4.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_7,BOOK_17_NAVAL,IMG_8038_output,RENNES,NAVEL STORES,,,44125 700,1.0,2.0,3.0,,R,,17.0,,,,,68.0,3.0,17.0,,,,,,,,,17.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1426.0,8,325S,5.0,209.0,7.0,G,1.0,49.0,3.0,12.0,4.0,3.0,,,,,,,12.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1428.0,8,359S,3.0,209.0,7.0,G,1.0,30.0,3.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1430.0,8,322S,4.0,220.0,7.0,G,1.0,40.0,3.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1430.0,8,323S,2.0,218.0,7.0,G,1.0,20.0,3.0,5.0,4.0,3.0,,,,,,,5.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1430.0,8,324S,3.0,220.0,7.0,G,1.0,30.0,3.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1430.0,8,360S,2.0,209.0,7.0,G,1.0,20.0,3.0,5.0,4.0,3.0,,,,,,,5.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1430.0,8,361S,5.0,210.0,7.0,G,1.0,25.0,4.0,13.0,3.0,3.0,,,,,,,13.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1430.0,8,362S,4.0,200.0,7.0,G,1.0,40.0,3.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1430.0,8,366S,2.0,200.0,7.0,G,1.0,20.0,3.0,5.0,4.0,3.0,,,,,,,5.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1431.0,8,369S,5.0,220.0,7.0,C,1.0,50.0,3.0,13.0,4.0,3.0,,,,,,,13.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1431.0,8,370S,3.0,220.0,7.0,G,1.0,30.0,3.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1431.0,8,371S,4.0,195.0,7.0,G,1.0,40.0,3.0,10.0,4.0,3.0,,,,,,,10.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1431.0,8,372S,4.0,210.0,7.0,G,1.0,20.0,3.0,5.0,4.0,3.0,,,,,,,5.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5758_output,RENNES,RENNES MARSHALLING YARD,4807N,140W,441 25 630,08,3.0,3.0,1431.0,8,373S,2.0,209.0,7.0,G,1.0,20.0,3.0,5.0,4.0,3.0,,,,,,,5.0,False
