box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,22-23,12.0,0.0,,R,,1.0,,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5760_output,RHEIMS,MAIN ROAD,,,44152 650,22-23,12.0,0.0,,R,,1.0,,,,,1.0,2.0,0.125,,,,,,,,,0.125,False
BOX_7,BOOK_15_TACTICAL,IMG_7490_output,RHEIMS,FACTORY,,,44152 800,22-23,12.0,0.0,,R,,1.0,,,,2.0,1.0,3.0,0.25,,,120.0,2.0,0.24,,,,0.49,False
BOX_7,BOOK_15_TACTICAL,IMG_7490_output,RHEIMS,FACTORY,,,44152 800,22,12.0,1.0,,R,,1.0,,,,2.0,1.0,2.0,0.125,,,,,,,,,0.125,False
BOX_7,BOOK_15_TACTICAL,IMG_7490_output,RHEIMS,FACTORY,,,44152 800,22,12.0,1.0,,R,,1.0,,,,2.0,1.0,3.0,0.25,,,,,,,,,0.25,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,28,1.0,2.0,,R,,1.0,,,,,6.666666666666667,2.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,28-29,1.0,2.0,,R,,1.0,,,,,8.0,2.0,1.0,,,360.0,2.0,0.72,,,,1.72,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,30-31,5.0,2.0,,R,,8.0,,,,,14.0,2.0,2.1,,,,,,,,,2.1,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,30-31,5.0,2.0,,R,,8.0,,,,,13.333333333333334,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,31,5.0,2.0,,R,,8.0,,,,,13.333333333333334,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,01-02,6.0,2.0,,R,,3.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,01-02,6.0,2.0,,R,,8.0,,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,03,7.0,2.0,,R,,3.0,,,,,40.0,1.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,11-12,8.0,2.0,,R,,1.0,,,,,13.333333333333334,2.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,11-12,8.0,2.0,,R,,2.0,,,,,12.0,2.0,1.8,,,8.0,33.0,5.0,,,,6.8,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,13,9.0,2.0,,R,,1.0,,,,,6.0,2.0,0.75,,,,,,,,,0.75,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,14,10.0,2.0,,R,,1.0,,,,,800.0,2.0,100.0,,,8.0,31.0,0.12,,,,100.12,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4040_output,RHEIMS,CHAMPAGNE AD,4915N,402E,44152 781,26.0,9.0,3.0,1418.0,8.0,96G,19.0,232.0,7.0,C,1.0,38.0,4.0,19.0,4.0,3.0,100.0,5.0,5.0,,,,24.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4040_output,RHEIMS,CHAMPAGNE AD,4915N,402E,44152 781,26.0,9.0,3.0,1751.0,8.0,96G,19.0,234.0,7.0,C,1.0,228.0,3.0,57.0,4.0,2.0,,,,,,,57.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4040_output,RHEIMS,CHAMPAGNE AD,4915N,402E,44152 781,26.0,9.0,3.0,1751.0,8.0,388G,20.0,230.0,7.0,P,1.0,,,,,,840.0,7.0,29.0,,,,29.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,15,11.0,3.0,,R,,1.0,,,,,12.0,23.0,132.0,,,,,,,,,132.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,18-19,3.0,4.0,,R,,1.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,20,3.0,4.0,,R,,3.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,23-24,3.0,4.0,,R,,1.0,,,,,6.0,3.0,1.8,,,,,,,,,1.8,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,24,3.0,4.0,,R,,1.0,,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,24-25,3.0,4.0,,R,,2.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,25,3.0,4.0,,R,,2.0,,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4040_output,RHEIMS,CHAMPAGNE AD,4915N,402E,44152 781,28.0,3.0,4.0,1419.0,9.0,91G,30.0,217.0,7.0,C,1.0,351.0,3.0,88.0,4.0,3.0,,,,,,,88.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4040_output,RHEIMS,CHAMPAGNE AD,4915N,402E,44152 781,28.0,3.0,4.0,1420.0,9.0,381G,28.0,210.0,7.0,G,1.0,334.0,3.0,84.0,4.0,2.0,,,,,,,84.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,30-31,3.0,4.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,1,4.0,4.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,11,4.0,4.0,,R,,2.0,,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,11-12,4.0,4.0,,R,,2.0,,,,,8.0,3.0,2.0,,,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5759_output,RHEIMS,MARSHALLING YARD,4915N,402E,44152 630,01,5.0,4.0,1813.0,8,92G,7.0,203.0,1.0,N,1.0,42.0,4.0,21.0,4.0,3.0,,,,,,,21.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5759_output,RHEIMS,MARSHALLING YARD,4915N,402E,44152 630,02,5.0,4.0,1813.0,8,305G,7.0,200.0,1.0,N,1.0,42.0,4.0,21.0,4.0,3.0,,,,,,,21.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5759_output,RHEIMS,MARSHALLING YARD,4915N,402E,44152 630,03,5.0,4.0,1813.0,8,306G,6.0,203.0,1.0,N,1.0,36.0,4.0,18.0,4.0,3.0,,,,,,,18.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5759_output,RHEIMS,MARSHALLING YARD,4915N,402E,44152 630,04,5.0,4.0,1814.0,8,351G,18.0,192.0,1.0,N,1.0,108.0,4.0,59.4,4.0,3.0,,,,,,,59.4,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5759_output,RHEIMS,MARSHALLING YARD,4915N,402E,44152 630,05,5.0,4.0,1816.0,8,379G,19.0,213.0,1.0,N,1.0,114.0,4.0,57.0,4.0,3.0,,,,,,,57.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,08-09,5.0,4.0,,R,,1.0,,,,,6.0,3.0,2.0,,,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4040_output,RHEIMS,CHAMPAGNE AD,4915N,402E,44152 781,1.0,5.0,4.0,1121.0,9.0,466G,16.0,180.0,1.0,N,1.0,160.0,3.0,40.0,4.0,2.0,,,,,,,40.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4040_output,RHEIMS,CHAMPAGNE AD,4915N,402E,44152 781,1.0,5.0,4.0,1123.0,9.0,458G,24.0,184.0,1.0,N,1.0,240.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5759_output,RHEIMS,MARSHALLING YARD,4915N,402E,44152 630,20,5.0,4.0,1135.0,8,445G,13.0,180.0,1.0,N,1.0,78.0,4.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5759_output,RHEIMS,MARSHALLING YARD,4915N,402E,44152 630,20,5.0,4.0,1140.0,8,381G,25.0,196.0,1.0,N,1.0,150.0,4.0,75.0,4.0,3.0,,,,,,,75.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5759_output,RHEIMS,MARSHALLING YARD,4915N,402E,44152 630,20,5.0,4.0,1140.0,8,453G,19.0,173.0,1.0,N,1.0,113.0,4.0,57.0,4.0,3.0,,,,,,,57.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4040_output,RHEIMS,CHAMPAGNE AD,4915N,402E,44152 781,20.0,5.0,4.0,1115.0,9.0,389AG,4.0,206.0,7.0,N,1.0,16.0,3.0,4.0,4.0,3.0,,,,,,,4.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4040_output,RHEIMS,CHAMPAGNE AD,4915N,402E,44152 781,20.0,5.0,4.0,1116.0,9.0,389AG,2.0,205.0,7.0,N,1.0,4.0,4.0,2.0,4.0,3.0,,,,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4040_output,RHEIMS,CHAMPAGNE AD,4915N,402E,44152 781,20.0,5.0,4.0,1120.0,9.0,467G,25.0,179.0,1.0,N,1.0,,,,,,52.0,7.0,2.0,,,,2.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4040_output,RHEIMS,CHAMPAGNE AD,4915N,402E,44152 781,20.0,5.0,4.0,1125.0,9.0,446G,22.0,204.0,1.0,N,1.0,220.0,3.0,55.0,4.0,2.0,,,,,,,55.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5759_output,RHEIMS,MARSHALLING YARD,4915N,402E,44152 630,30,5.0,4.0,1044.0,8,452G,34.0,237.0,1.0,N,1.0,396.0,3.0,99.0,4.0,3.0,,,,,,,99.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5759_output,RHEIMS,MARSHALLING YARD,4915N,402E,44152 630,30,5.0,4.0,1045.0,8,396G,20.0,248.0,1.0,N,1.0,234.0,3.0,59.0,4.0,3.0,,,,,,,59.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5759_output,RHEIMS,MARSHALLING YARD,4915N,402E,44152 630,30,5.0,4.0,1046.0,8,388BG,7.0,227.0,1.0,N,1.0,300.0,3.0,90.0,4.0,3.0,,,,,,,90.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,10,6.0,4.0,,R,,1.0,,,,,4.0,3.0,1.0,,,100.0,2.0,0.2,,,,1.2,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5759_output,RHEIMS,MARSHALLING YARD,4915N,402E,44152 630,22-23,6.0,4.0,1500.0,R,390G,97.0,230.0,1.0,N,1.0,1704.0,3.0,426.0,4.0,3.0,,,,,,,426.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,12,8.0,4.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_4,BOOK_10_AIRFIELDS__PART_1,IMG_4039_output,RHEIMS,AIRDROME,4915N,402E,44152,13,8.0,4.0,,R,,1.0,,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
