box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2948_output,RUHRORT,HAFEN NEU,,,94762,27-28,6.0,0.0,,R,,3.0,280.0,,,,12.0,3.0,3.0,,,240.0,2.0,0.48,,,,3.48,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2948_output,RUHRORT,HAFEN NEU,,,94762,29,6.0,0.0,,R,,3.0,280.0,,,,18.0,2.0,2.0,,,,,,,,,2.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2948_output,RUHRORT,HAFEN NEU,,,94762,01-02,7.0,0.0,,R,,8.0,280.0,,,,2.0,3.0,0.6,,,240.0,2.0,0.48,,,,1.08,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2948_output,RUHRORT,HAFEN NEU,,,94762,03,7.0,0.0,,R,,8.0,280.0,,,,41.0,2.0,5.0,,,,,,,,,5.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2948_output,RUHRORT,HAFEN NEU,,,94762,04,7.0,0.0,,R,,5.0,280.0,,,,10.0,3.0,3.0,,,,,,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2948_output,RUHRORT,HAFEN NEU,,,94762,07-08,7.0,0.0,,R,,2.0,280.0,,,,12.0,2.0,1.8,,,120.0,2.0,0.24,,,,2.04,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2948_output,RUHRORT,HAFEN NEU,,,94762,14-15,7.0,0.0,,R,,1.0,280.0,,,,4.0,3.0,1.0,,,50.0,2.0,0.1,,,,1.1,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2948_output,RUHRORT,HAFEN NEU,,,94762,14-15,7.0,0.0,,R,,1.0,280.0,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2948_output,RUHRORT,HAFEN NEU,,,94762,09-10,8.0,0.0,,R,,1.0,280.0,,,,3.0,2.0,0.375,,,,,,,,,0.375,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2948_output,RUHRORT,HAFEN NEU,,,94762,9,8.0,0.0,,R,,1.0,280.0,,,,1.0,3.0,0.3,,,100.0,2.0,0.2,,,,0.5,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2948_output,RUHRORT,HAFEN NEU,,,94762,17,10.0,0.0,,R,,1.0,280.0,,,,4.0,3.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2948_output,RUHRORT,HAFEN NEU,,,94762,17-18,11.0,0.0,,R,,1.0,280.0,,,,4.0,3.0,1.0,,,180.0,2.0,0.36,,,,1.36,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2949_output,RUHRORT,TOWN AREA,,,94762,06-07,9.0,2.0,1200.0,R,,1.0,280.0,,,,,,,,,1500.0,2.0,3.0,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2949_output,RUHRORT,TOWN AREA,,,94762,04-05,2.0,3.0,121.0,R,,1.0,280.0,,,,3.0,3.0,0.9,,,,,,,,,0.9,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2949_output,RUHRORT,TOWN AREA,,,94762,09-10,2.0,3.0,600.0,R,,1.0,280.0,,,,3.0,3.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2949_output,RUHRORT,TOWN AREA,,,94762,4,2.0,3.0,1530.0,R,,1.0,280.0,,,,,,,,,1500.0,2.0,3.0,,,,3.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2949_output,RUHRORT,TOWN AREA,,,94762,09-10,3.0,3.0,51.0,R,,1.0,280.0,,,,2.0,4.0,1.0,,,,,,,,,1.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2949_output,RUHRORT,TOWN AREA,,,94762,09-10,3.0,3.0,510.0,R,,1.0,280.0,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
BOX_3,BOOK_6_INDUSTRIAL__PART_5,IMG_2949_output,RUHRORT,TOWN AREA,,,94762,09-10,3.0,3.0,2230.0,R,,1.0,280.0,,,,2.0,3.0,0.6,,,,,,,,,0.6,False
