box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,28.0,11.0,3.0,1208.0,15.0,376G,19.0,195.0,7.0,G,1.0,40.0,4.0,20.0,4.0,3.0,,,,,,,20.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,28.0,11.0,3.0,1210.0,15.0,98G,19.0,200.0,7.0,G,1.0,87.0,3.0,22.0,4.0,3.0,,,,,,,22.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,28.0,11.0,3.0,1218.0,15.0,98G,19.0,200.0,7.0,G,1.0,98.0,3.0,25.0,4.0,16.0,,,,,,,25.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,28.0,11.0,3.0,1218.0,15.0,376G,19.0,200.0,7.0,G,1.0,94.0,4.0,47.0,4.0,16.0,,,,,,,47.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,16.0,12.0,3.0,1215.0,15.0,98G,20.0,205.0,7.0,G,1.0,101.0,4.0,51.0,4.0,3.0,,,,,,,51.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,16.0,12.0,3.0,1220.0,15.0,376G,18.0,210.0,7.0,G,1.0,115.0,4.0,58.0,4.0,3.0,,,,,,,58.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5483_output,S DONA DI PIAVE,AIRCRAFT FACTORY,,,41543 611,25.0,6.0,4.0,1159.0,15.0,458G,14.0,195.0,7.0,G,3.0,78.0,4.0,39.0,4.0,1.0,,,,,,,39.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5483_output,S DONA DI PIAVE,AIRCRAFT FACTORY,,,41543 611,25.0,6.0,4.0,1229.0,15.0,456G,13.0,160.0,7.0,P,2.0,78.0,4.0,39.0,4.0,4.0,,,,,,,39.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5483_output,S DONA DI PIAVE,AIRCRAFT FACTORY,,,41543 611,27.0,6.0,4.0,1800.0,15.0,460G,27.0,210.0,7.0,G,3.0,78.0,4.0,42.9,4.0,2.0,,,,,,,42.9,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,20.0,7.0,4.0,1235.0,8.0,464G,1.0,220.0,7.0,G,3.0,5.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,3.0,8.0,4.0,1200.0,15.0,301G,1.0,230.0,3.0,N,3.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,23.0,9.0,4.0,1153.0,15.0,457G,28.0,186.0,1.0,G,2.0,8.0,5.0,8.0,4.0,2.0,,,,,,,8.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,23.0,9.0,4.0,1200.0,15.0,454G,19.0,173.0,7.0,N,2.0,47.0,5.0,47.0,4.0,2.0,,,,,,,47.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,23.0,9.0,4.0,1200.0,15.0,455G,10.0,180.0,1.0,N,3.0,60.0,4.0,30.0,4.0,2.0,,,,,,,30.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,23.0,9.0,4.0,1200.0,15.0,458G,15.0,190.0,2.0,P,2.0,6.0,4.0,3.0,4.0,2.0,,,,,,,3.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,23.0,9.0,4.0,1200.0,15.0,459G,17.0,203.0,3.0,C,3.0,5.0,4.0,2.75,4.0,1.0,,,,,,,2.75,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,23.0,9.0,4.0,1202.0,15.0,455G,20.0,175.0,1.0,C,2.0,120.0,4.0,60.0,4.0,2.0,,,,,,,60.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,23.0,9.0,4.0,1218.0,15.0,454G,18.0,174.0,7.0,N,2.0,14.0,4.0,7.0,4.0,2.0,,,,,,,7.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,23.0,9.0,4.0,1229.0,15.0,456G,7.0,185.0,7.0,P,2.0,42.0,4.0,21.0,4.0,4.0,,,,,,,21.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5482_output,S DONA DI PIAVE,RR BRIDGE,4537N,1236E,41543 610,10.0,10.0,4.0,1030.0,15.0,463G,30.0,160.0,7.0,P,3.0,296.0,3.0,74.0,4.0,2.0,,,,,,,74.0,False
