box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6507_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,28.0,6.0,0.0,916.0,8.0,493G,33.0,226.0,3.0,N,1.0,191.0,3.0,48.0,4.0,3.0,,,,,,,48.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6506_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,08-09,11.0,0.0,945.0,R,1G,1.0,250.0,3.0,N,2.0,2.0,4.0,1.0,4.0,3.0,120.0,2.0,0.24,,,,1.24,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6506_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,08-09,11.0,0.0,946.0,R,92AG,1.0,250.0,3.0,N,2.0,3.0,3.0,1.0,4.0,3.0,,,,,,,1.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6507_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,28.0,6.0,0.4,840.0,9.0,491G,33.0,233.0,3.0,N,1.0,78.0,10.0,60.0,1.0,3.0,,,,,,,60.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6508_output,SAAR BRUCKEN,MARSHALLING YARD,,,1754,19.0,7.0,1.0,931.0,8.0,486AG,10.0,214.0,1.0,N,1.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6508_output,SAAR BRUCKEN,MARSHALLING YARD,,,1754,19.0,7.0,1.0,938.0,9.0,487G,11.0,219.0,1.0,N,1.0,122.0,3.0,31.0,4.0,3.0,,,,,,,31.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6506_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,11-12,2.0,2.0,948.0,R,94G,1.0,250.0,3.0,N,2.0,6.0,4.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6506_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,2,5.0,2.0,1000.0,8,89G,12.0,250.0,3.0,N,1.0,72.0,4.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6506_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,2,5.0,2.0,1002.0,8,91G,12.0,255.0,3.0,N,2.0,120.0,4.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6506_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,23,5.0,3.0,1003.0,8,91AG,2.0,250.0,3.0,N,2.0,12.0,4.0,6.0,4.0,3.0,,,,,,,6.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6509_output,SAAR BRUCKEN,MARSHALLING YARD,,,1755,14,1.0,4.0,1006.0,8,390BG,13.0,265.0,3.0,N,4.0,150.0,3.0,38.0,4.0,3.0,,,,,,,38.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6509_output,SAAR BRUCKEN,MARSHALLING YARD,,,1755,14,1.0,4.0,1300.0,8,390G,11.0,260.0,3.0,N,4.0,120.0,3.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6509_output,SAAR BRUCKEN,MARSHALLING YARD,,,1755,14,1.0,4.0,1300.0,8,390CG,11.0,255.0,3.0,N,4.0,113.0,3.0,28.0,4.0,3.0,,,,,,,28.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6506_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,23,5.0,4.0,958.0,8,303G,5.0,250.0,3.0,N,2.0,46.66666666666666,3.0,14.0,4.0,2.0,,,,,,,14.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6506_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,28,6.0,4.0,856.0,8,396G,25.0,220.0,3.0,N,1.0,276.0,3.0,69.0,4.0,3.0,,,,,,,69.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6506_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,28,6.0,4.0,857.0,8,397G,25.0,220.0,3.0,N,1.0,646.0,2.0,81.0,1.0,3.0,,,,,,,81.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6506_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,28,6.0,4.0,859.0,8,398G,25.0,240.0,3.0,N,1.0,130.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6506_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,28,6.0,4.0,900.0,8,399G,25.0,230.0,3.0,N,1.0,204.0,2.0,26.0,1.0,3.0,,,,,,,26.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6506_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,28,6.0,4.0,900.0,8,400G,25.0,230.0,3.0,N,1.0,261.0,3.0,65.0,4.0,3.0,,,,,,,65.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6506_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,28,6.0,4.0,1344.0,8,395G,25.0,220.0,3.0,N,1.0,240.0,2.0,30.0,4.0,3.0,,,,,,,30.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6507_output,SAAR BRUCKEN,MARSHALLING YARD,4914N,659E,48222 630,28.0,6.0,4.0,837.0,8.0,489G,33.0,240.0,3.0,N,1.0,772.0,2.0,97.0,1.0,3.0,,,,,,,97.0,False
