box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2332_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223 20,7.0,11.0,0.0,930.0,8.0,492AG,49.0,252.0,1.0,N,1.0,150.0,1.0,5.0,4.0,2.0,,,,,,,5.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2331_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223,4.0,10.0,3.0,1133.0,8.0,96G,21.0,244.0,7.0,G,1.0,192.0,4.0,114.0,4.0,3.0,507.0,5.0,25.35,,,,139.35,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2331_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223,4.0,10.0,3.0,1138.0,8.0,95G,21.0,240.0,7.0,P,1.0,108.0,4.0,54.0,4.0,3.0,126.0,5.0,6.3,,,,60.3,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2331_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223,9.0,11.0,4.0,1000.0,9.0,95BG,11.0,245.0,3.0,N,3.0,80.0,4.0,40.0,4.0,91.0,,,,,,,40.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2331_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223,9.0,11.0,4.0,1000.0,9.0,95CG,12.0,230.0,3.0,N,3.0,70.0,4.0,35.0,4.0,91.0,,,,,,,35.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2331_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223,9.0,11.0,4.0,1008.0,9.0,95AG,11.0,238.0,3.0,N,3.0,80.0,4.0,40.0,4.0,91.0,,,,,,,40.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2332_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223 20,2.0,1.0,5.0,131.0,8.0,486BG,10.0,265.0,1.0,N,1.0,125.0,1.0,6.0,4.0,2.0,,,,239.0,5.0,30.0,36.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2332_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223 20,2.0,1.0,5.0,1123.0,8.0,94AG,11.0,249.0,1.0,N,1.0,153.0,1.0,8.0,1.0,3.0,,,,257.0,5.0,32.0,40.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2332_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223 20,2.0,1.0,5.0,1530.0,8.0,486AG,12.0,260.0,1.0,N,1.0,138.0,1.0,7.0,4.0,2.0,,,,288.0,5.0,36.0,43.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2332_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223 20,3.0,1.0,5.0,1125.0,8.0,94BG,13.0,244.0,1.0,N,1.0,176.0,1.0,9.0,1.0,3.0,,,,306.0,5.0,38.0,47.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2332_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223 20,3.0,1.0,5.0,1800.0,8.0,487AG,13.0,262.0,1.0,N,1.0,168.0,1.0,8.0,1.0,3.0,,,,288.0,5.0,36.0,44.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2332_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223 20,4.0,1.0,5.0,1110.0,8.0,385CG,13.0,255.0,1.0,N,1.0,178.0,1.0,9.0,1.0,2.0,,,,302.0,5.0,38.0,47.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2332_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223 20,4.0,1.0,5.0,1117.0,8.0,385BG,11.0,254.0,1.0,N,1.0,145.0,1.0,7.0,1.0,2.0,,,,261.0,5.0,33.0,40.0,False
BOX_3,BOOK_6_INDUSTRIAL__PART_4,IMG_2332_output,SAARLAUTERN,UNIDENTIFIED TARGET,4920N,645E,48223 20,5.0,1.0,5.0,1146.0,8.0,447BG,13.0,250.0,1.0,N,1.0,179.0,1.0,9.0,1.0,3.0,,,,298.0,5.0,37.0,46.0,False
