box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,16,6.0,4.0,1656.0,8.0,93G,3.0,200.0,3.0,N,1.0,340.0,3.0,85.0,4.0,3.0,,,,,,,85.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,16,6.0,4.0,1656.0,8.0,93G,3.0,205.0,3.0,N,1.0,30.0,3.0,8.0,4.0,3.0,,,,,,,8.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,16,6.0,4.0,1711.0,8.0,93G,13.0,209.0,3.0,N,1.0,130.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,16,6.0,4.0,1711.0,8.0,448G,3.0,210.0,3.0,N,1.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,16-17,6.0,4.0,315.0,8.0,448G,8.0,215.0,3.0,N,1.0,1480.0,3.0,370.0,4.0,3.0,,,,,,,370.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,18-21,6.0,4.0,1000.0,8.0,448G,147.0,220.0,3.0,N,1.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,22,6.0,4.0,1045.0,8.0,302G,11.0,235.0,3.0,N,1.0,132.0,3.0,33.0,4.0,3.0,,,,,,,33.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,22,6.0,4.0,1118.0,8.0,303AG,1.0,243.0,3.0,N,1.0,10.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,22,6.0,4.0,1118.0,8.0,305G,1.0,250.0,1.0,N,1.0,123.0,3.0,31.0,4.0,3.0,,,,,,,31.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,22,6.0,4.0,1118.0,8.0,384AG,1.0,240.0,3.0,N,1.0,11.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,22,6.0,4.0,1118.0,8.0,384G,24.0,244.0,3.0,N,1.0,12.0,3.0,3.0,4.0,3.0,,,,,,,3.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,02,7.0,4.0,1300.0,8.0,453G,12.0,245.0,3.0,N,1.0,144.0,3.0,36.0,1.0,2.0,,,,,,,36.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,03,7.0,4.0,1800.0,8.0,454G,27.0,245.0,3.0,N,1.0,150.0,3.0,37.5,4.0,3.0,,,,,,,37.5,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,06,7.0,4.0,2016.0,8.0,385G,12.0,250.0,1.0,N,1.0,144.0,3.0,36.0,4.0,3.0,,,,,,,36.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,06,7.0,4.0,2020.0,8.0,388G,20.0,250.0,1.0,N,1.0,162.0,3.0,41.0,4.0,3.0,,,,,,,41.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,06,7.0,4.0,2025.0,8.0,452G,25.0,260.0,1.0,N,1.0,148.0,3.0,37.0,4.0,3.0,,,,,,,37.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,2,7.0,4.0,1258.0,8.0,445G,10.0,242.0,3.0,N,1.0,156.0,3.0,39.0,4.0,3.0,,,,,,,39.0,False
BOX_3,BOOK_8_WEAPON,IMG_3555_output,Sautrecourt,No Ball,526N,218E,99167,22,7.0,4.0,1258.0,8.0,93AG,2.0,243.0,3.0,N,1.0,76.0,1.0,4.0,1.0,3.0,,,,,,,4.0,False
