box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5485_output,SAVONA,MARSHALLING YARDS,4418N,830E,4154 7 630,7.0,6.0,4.0,1019.0,15.0,456G,37.0,200.0,7.0,G,3.0,218.0,4.0,109.0,4.0,91.0,,,,,,,109.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7392_output,SAVONA,GUN POSITION,4418N,1830E,41547 820,12.0,8.0,4.0,1048.0,15.0,099G,27.0,190.0,7.0,G,1.0,240.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7392_output,SAVONA,GUN POSITION,4418N,1830E,41547 820,12.0,8.0,4.0,1051.0,15.0,002G,27.0,160.0,7.0,G,1.0,318.0,3.0,80.0,4.0,3.0,,,,,,,80.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7392_output,SAVONA,GUN POSITION,4418N,1830E,41547 820,12.0,8.0,4.0,1114.0,15.0,301G,20.0,180.0,7.0,G,1.0,240.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7392_output,SAVONA,GUN POSITION,4418N,1830E,41547 820,12.0,8.0,4.0,1115.0,15.0,463G,20.0,160.0,1.0,G,1.0,240.0,3.0,60.0,4.0,3.0,,,,,,,60.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7392_output,SAVONA,GUN POSITION,4418N,1830E,41547 820,12.0,8.0,4.0,1130.0,15.0,484G,27.0,190.0,7.0,G,1.0,315.0,3.0,79.0,4.0,3.0,,,,,,,79.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7392_output,SAVONA,GUN POSITION,4418N,1830E,41547 820,13.0,8.0,4.0,1330.0,15.0,483G,28.0,190.0,7.0,G,1.0,330.0,3.0,83.0,4.0,3.0,,,,,,,83.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7392_output,SAVONA,GUN POSITION,4418N,1830E,41547 820,13.0,8.0,4.0,1400.0,15.0,463G,28.0,190.0,1.0,G,1.0,319.0,3.0,80.0,4.0,3.0,,,,,,,80.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7392_output,SAVONA,GUN POSITION,4418N,1830E,41547 820,14.0,8.0,4.0,900.0,15.0,376G,14.0,190.0,7.0,G,1.0,84.0,4.0,42.0,4.0,3.0,,,,,,,42.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7392_output,SAVONA,GUN POSITION,4418N,1830E,41547 820,14.0,8.0,4.0,1020.0,15.0,454G,24.0,205.0,7.0,G,1.0,143.0,4.0,72.0,4.0,3.0,,,,,,,72.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7392_output,SAVONA,GUN POSITION,4418N,1830E,41547 820,14.0,8.0,4.0,1024.0,15.0,459G,32.0,198.0,7.0,G,1.0,192.0,4.0,96.0,4.0,3.0,,,,,,,96.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7392_output,SAVONA,GUN POSITION,4418N,1830E,41547 820,14.0,8.0,4.0,1030.0,15.0,455G,30.0,190.0,1.0,G,1.0,180.0,4.0,90.0,4.0,3.0,,,,,,,90.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7392_output,SAVONA,GUN POSITION,4418N,1830E,41547 820,14.0,8.0,4.0,1047.0,15.0,450G,26.0,210.0,1.0,G,1.0,128.0,4.0,64.0,4.0,3.0,,,,,,,64.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7392_output,SAVONA,GUN POSITION,4418N,1830E,41547 820,14.0,8.0,4.0,1101.0,15.0,376G,8.0,180.0,7.0,G,1.0,84.0,4.0,42.0,4.0,3.0,,,,,,,42.0,False
