box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6529_output,SCHWERTE,MARSHALLING YARD,5125N,735E,48262 630,18-19,6.0,0.0,800.0,R,,4.0,90.0,,,,16.0,3.0,4.0,,,,,,,,,4.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6529_output,SCHWERTE,MARSHALLING YARD,5125N,735E,48262 630,18-19,6.0,0.0,1430.0,R,,4.0,90.0,,,,18.0,2.0,2.7,,,,,,,,,2.7,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6529_output,SCHWERTE,MARSHALLING YARD,5125N,735E,48262 630,19-20,6.0,0.0,1200.0,R,,4.0,90.0,,,,19.0,3.0,4.75,,,,,,,,,4.75,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6529_output,SCHWERTE,MARSHALLING YARD,5125N,735E,48262 630,19-20,6.0,0.0,1430.0,R,,4.0,90.0,,,,20.0,2.0,3.0,,,,,,,,,3.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6529_output,SCHWERTE,MARSHALLING YARD,5125N,735E,48262 630,21,6.0,0.0,600.0,R,,4.0,90.0,,,,21.0,2.0,3.15,,,,,,,,,3.15,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6529_output,SCHWERTE,MARSHALLING YARD,5125N,735E,48262 630,26-27,6.0,0.0,930.0,R,,1.0,90.0,,,,10.0,2.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6529_output,SCHWERTE,MARSHALLING YARD,5125N,735E,48262 630,27-28,6.0,0.0,1200.0,R,,1.0,115.0,,,,12.0,2.0,1.8,,,60.0,2.0,0.12,,,,1.92,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6529_output,SCHWERTE,MARSHALLING YARD,5125N,735E,48262 630,29-30,6.0,0.0,900.0,R,,1.0,90.0,,,,8.0,2.0,1.0,,,60.0,31.0,1.0,,,,2.0,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6529_output,SCHWERTE,MARSHALLING YARD,5125N,735E,48262 630,02-03,7.0,0.0,1600.0,R,,1.0,90.0,,,,4.0,2.0,0.6,,,120.0,2.0,0.24,,,,0.84,False
BOX_6,BOOK_11_TRANSPORTATION__PART_4,IMG_6529_output,SCHWERTE,MARSHALLING YARD,5125N,735E,48262 630,04-05,7.0,0.0,1600.0,R,,1.0,90.0,,,,5.0,11.0,1.0,,,60.0,2.0,0.12,,,,1.12,False
