box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_1,BOOK_4_CHEMICAL,IMG_0860_output,SETE,CHEMICAL PLANT,4325N,342E,44250 430,5.0,5.0,4.0,,8,305G,17.0,,7,N,3.0,136.0,1.0,7.0,4.0,91.0,,,,,,,7.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0860_output,SETE,CHEMICAL PLANT,4325N,342E,44250 430,5.0,5.0,4.0,,8,305G,17.0,,7,N,3.0,136.0,3.0,34.0,4.0,91.0,,,,,,,34.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5780_output,SETE,MARSHALLING YARDS,4325N,342E,44250 630,25.0,6.0,4.0,955.0,15.0,99G,26.0,220.0,7.0,G,1.0,312.0,3.0,78.0,4.0,91.0,,,,,,,78.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5780_output,SETE,MARSHALLING YARDS,4325N,342E,44250 630,25.0,6.0,4.0,958.0,15.0,463G,27.0,210.0,1.0,G,1.0,324.0,3.0,81.0,4.0,3.0,,,,,,,81.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5780_output,SETE,MARSHALLING YARDS,4325N,342E,44250 630,25.0,6.0,4.0,1005.0,15.0,97G,24.0,236.0,7.0,G,1.0,281.0,3.0,70.0,4.0,3.0,,,,,,,70.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5780_output,SETE,MARSHALLING YARDS,4325N,342E,44250 630,25.0,6.0,4.0,1009.0,15.0,483G,24.0,230.0,1.0,G,1.0,288.0,3.0,72.0,4.0,91.0,,,,,,,72.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5780_output,SETE,MARSHALLING YARDS,4325N,342E,44250 630,25.0,6.0,4.0,1430.0,15.0,100G,2.0,215.0,7.0,N,3.0,18.0,3.0,5.0,4.0,3.0,,,,,,,5.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0860_output,SETE,CHEMICAL PLANT,4325N,342E,44250 430,6.0,6.0,4.0,,8,305G,17.0,,7,N,3.0,136.0,3.0,34.0,4.0,91.0,,,,,,,34.0,False
BOX_1,BOOK_4_CHEMICAL,IMG_0860_output,SETE,CHEMICAL PLANT,4325N,342E,44250 430,6.0,6.0,4.0,,8,305G,17.0,,7,N,3.0,136.0,1.0,6.8,4.0,91.0,,,,,,,6.8,False
BOX_1,BOOK_4_CHEMICAL,IMG_0860_output,SETE,CHEMICAL PLANT,4325N,342E,44250 430,6.0,6.0,4.0,,8,305G,17.0,,7,N,3.0,136.0,1.0,6.8,4.0,91.0,,,,,,,6.8,False
BOX_1,BOOK_4_CHEMICAL,IMG_0860_output,SETE,CHEMICAL PLANT,4325N,342E,44250 430,6.0,6.0,4.0,,8,305G,17.0,,7,N,3.0,136.0,1.0,6.8,4.0,91.0,,,,,,,6.8,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5780_output,SETE,MARSHALLING YARDS,4325N,342E,44250 630,26.0,7.0,4.0,600.0,15.0,485G,1.0,220.0,7.0,N,2.0,8.0,3.0,2.0,4.0,91.0,,,,,,,2.0,False
BOX_5,BOOK_11_TRANSPORTATION__PART_2,IMG_5780_output,SETE,MARSHALLING YARDS,4325N,342E,44250 630,27.0,7.0,4.0,1800.0,15.0,487G,104.0,215.0,7.0,G,2.0,4.0,3.0,1.2,4.0,91.0,,,,,,,1.2,False
