box,book,image,target_location,target_name,latitude,longitude,target_code,DAY,MONTH,YEAR,TIME OF ATTACK,AIR FORCE,GROUP/SQUADRON NUMBER,NUMBER OF AIRCRAFT BOMBING,ALTITUDE OF RELEASE IN HUND. FT.,SIGHTING,VISIBILITY OF TARGET,TARGET PRIORITY,HIGH EXPLOSIVE BOMBS NUMBER,HIGH EXPLOSIVE BOMBS SIZE,HIGH EXPLOSIVE BOMBS TONS,HIGH EXPLOSIVE BOMBS FUZING NOSE,HIGH EXPLOSIVE BOMBS FUZING TAIL,INCENDIARY BOMBS NUMBER,INCENDIARY BOMBS SIZE,INCENDIARY BOMBS TONS,FRAGMENTATION BOMBS NUMBER,FRAGMENTATION BOMBS SIZE,FRAGMENTATION BOMBS TONS,TOTAL TONS,SUMMATION_ROW
BOX_7,BOOK_15_TACTICAL,IMG_7682_output,SOLLNEILLES,Unidentified Flak Battery,,,93850 820,23-24,8.0,0.0,600.0,R,,2.0,30.0,,,,4.0,2.0,0.6,,,,,,,,,0.6,False
BOX_7,BOOK_15_TACTICAL,IMG_7680_output,SOLLNEILLES,SEARCHLIGHTS,370,,93783 800,23-24,8.0,0.0,,R,,1.0,,,,,1.0,2.0,0.125,,,60.0,2.0,0.12,,,,0.245,False
BOX_7,BOOK_15_TACTICAL,IMG_7680_output,SOLLNEILLES,SEARCHLIGHTS,370,,93783 800,23-24,8.0,0.0,,R,,1.0,,,,,6.0,2.0,0.75,,,,,,,,,0.75,False
BOX_7,BOOK_15_TACTICAL,IMG_7681_output,SOLLNEILLES,SEARCHLIGHTS,,,93850 800,21-22,6.0,1.0,,R,,2.0,,,,,15.0,3.0,4.0,,,,,,,,,4.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7681_output,SOLLNEILLES,SEARCHLIGHTS,,,93850 800,23,6.0,1.0,,R,,2.0,,,,,16.0,3.0,4.0,,,,,,,,,4.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7681_output,SOLLNEILLES,SEARCHLIGHTS,,,93850 800,24,6.0,1.0,,R,,2.0,,,,,17.0,3.0,4.0,,,,,,,,,4.0,False
BOX_7,BOOK_15_TACTICAL,IMG_7681_output,SOLLNEILLES,SEARCHLIGHTS,,,93850 800,27,6.0,1.0,,R,,2.0,,,,,18.0,3.0,4.5,,,,,,,,,4.5,False
BOX_7,BOOK_15_TACTICAL,IMG_7682_output,SOLLNEILLES,Unidentified Flak Battery,,,93850 820,23-24,8.0,1.0,1530.0,R,,1.0,250.0,,,,2.0,2.0,0.3,,,60.0,2.0,0.12,,,,0.42,False
BOX_7,BOOK_15_TACTICAL,IMG_7682_output,SOLLNEILLES,Unidentified Flak Battery,,,93850 820,23-24,8.0,2.0,800.0,R,,2.0,250.0,,,,6.0,2.0,0.9,,,,,,,,,0.9,False
BOX_7,BOOK_15_TACTICAL,IMG_7682_output,SOLLNEILLES,Unidentified Flak Battery,,,93850 820,28-29,5.0,4.0,900.0,R,,156.0,250.0,,,,5.0,2.0,0.75,,,,,,,,,0.75,False
BOX_7,BOOK_15_TACTICAL,IMG_7682_output,SOLLNEILLES,Unidentified Flak Battery,,,93850 820,2,6.0,4.0,600.0,R,,156.0,250.0,,,,5.0,2.0,0.625,,,,,,,,,0.625,False
